r_kpc,v_obs_kms,v_pred_kms,percent_close
4.25,-179.65314525738893,185.45751916124985,303.23087797630535
4.75,-208.92815220670508,186.32116582994766,289.17954036448333
5.25,-222.4765683227896,187.0728614630412,284.08654577574146
5.75,-227.85934202557118,187.7417483152027,282.3937024684876
6.25,-232.90855138280722,188.35244073178043,280.8696974041994
6.75,-231.35081165480938,188.9220804645087,281.6604355580965
7.25,-230.5092354216021,189.46165252643914,282.19265149177784
7.75,-231.7754846781993,189.97796072315433,281.9663740481107
8.25,-229.99778250788094,190.47519934174753,282.8161025140409
8.75,-227.6375087414929,190.9560008187767,283.8860001036243
9.25,-223.44705017649028,191.4220817741725,285.6677595980691
9.75,-224.4873782403893,191.8746256276723,285.4723446510235
10.25,-225.52070613679552,192.31450411490997,285.275763547076
10.75,-224.0764814151682,192.74240386996874,286.01634703146567
11.25,-224.9682863960966,193.1588982778336,285.8605012164884
11.75,-227.56943220579643,193.5644882101511,285.057332320057
12.25,-226.96496364231007,193.95962523077483,285.4579588488598
12.75,-229.40392229573007,194.34472498260493,284.7172633483008
13.25,-227.3063821519324,194.72017509091455,285.66419176068837
