cluster,M_gas_200kpc,median_kT_error,mean_kT_error,max_kT_keV_obs,max_kT_keV_pred
ABELL_0426,2267571838701.2188,55.794312585694776,92.40154971169952,6.5781,3980.30725693982
ABELL_1689,8031136353886.237,60.75185772565752,907.2272656260923,12.002,368833.02832364064
A1795,3252867565933.484,28.36860794988653,36.4381465308083,6.3,536.0182910014717
A2029,4526486737123.93,27.110384295440607,42.4935197246286,8.3,1004.1367059164003
A478,3438223338706.3535,26.165759845261537,33.836313057723274,7.1,429.23559999522115
