Complexity,Loss,Equation
1,1.8955698,"2.181877"
3,1.232754,"sqrt(exp(x1))"
4,0.5803855,"sqrt(1.2343674 / x0)"
5,0.20678501,"(0.22837378 / x0) - x2"
7,0.0943201,"exp(abs(x1 * (x1 + -1.7450405)))"
8,0.057171553,"abs((x1 + -1.6829578) * (x1 * 3.11434))"
10,0.045462966,"abs(((x1 + -1.6287851) * 2.7163358) * x1) + 0.33257803"
11,0.034367837,"abs((exp(x1) * (x1 + -1.6979505)) * 0.5884326) + 0.7275609"
12,0.02333839,"x0 + abs(abs((exp(x1) * 0.8613501) + -2.3251843) + -1.9142575)"
13,0.023180967,"(abs(x1 + ((exp(x1) * -0.45908657) + 0.7969879)) + 0.19771384) * 2.5798547"
14,0.023128763,"(x2 * -0.5303733) + abs(abs((exp(x1) * 0.85049975) + -2.3149335) + -1.8361182)"
15,0.019330606,"x0 + abs((abs((sqrt(x1) * exp(x1)) + -2.6814294) + -3.6508362) * -0.49121636)"
16,0.008068825,"abs(abs(exp(x1 * 0.85842687) + -2.4304008) + -1.9630072) + abs(log(x0) + 1.0392334)"
18,0.007018017,"abs(abs(exp(x1 * 0.87416726) + -2.4302797) + -2.055896) + abs((log(x0) + 1.0092887) / 1.1452428)"
20,0.006996351,"abs(abs(exp(x1 * 0.8747628) + -2.4318352) + -2.0650704) + (abs((log(x0) + 1.0078055) / 1.138366) + -0.010324668)"
