R_kpc,M_model_Msun
0.0,0.0
7.086614173228346,68225144305.55655
14.173228346456693,230050117345.39957
21.25984251968504,557310688854.3749
28.346456692913385,941910720865.8285
35.43307086614173,1258500281229.6343
42.51968503937008,1897185472096.6763
49.60629921259842,2859212085461.5254
56.69291338582677,3732854502696.049
63.77952755905512,5397909272777.426
70.86614173228347,6584431419765.243
77.95275590551181,8379611441369.645
85.03937007874015,10469505091149.14
92.1259842519685,11849429486399.53
99.21259842519684,13372710486070.648
106.2992125984252,16452605006505.795
113.38582677165354,18664754557525.35
120.47244094488188,21408188610027.895
127.55905511811024,24733151822026.695
134.64566929133858,27949407889102.8
141.73228346456693,29929430281550.508
148.81889763779526,32745754788910.86
155.90551181102362,36170692578534.375
162.99212598425197,40233237254315.51
170.0787401574803,43898590714378.695
177.16535433070865,48321553994560.91
184.251968503937,52656605071335.695
191.33858267716536,56264442474770.09
198.4251968503937,60796586657745.13
205.51181102362204,65377966854742.83
212.5984251968504,67646455153057.41
219.68503937007875,72370401668267.45
226.77165354330708,78571916194989.97
233.85826771653544,85532151563589.34
240.94488188976376,90667955755991.08
248.0314960629921,96995719544916.78
255.11811023622047,100172495547083.89
262.20472440944883,106314753326673.5
269.2913385826772,111326974580236.19
276.3779527559055,115847002478579.33
283.46456692913387,124018441409200.03
290.5511811023622,130427011906704.86
297.6377952755905,135052740133740.78
304.7244094488189,142493459598098.94
311.81102362204723,150121502821335.88
318.8976377952756,158808688902523.94
325.98425196850394,164199433852800.28
333.07086614173227,166392048723616.28
340.1574803149606,176098229715748.7
347.244094488189,183099613120603.8
354.3307086614173,191153670034990.62
361.4173228346457,202331377496943.0
368.503937007874,209213956450804.56
375.5905511811024,213970387150114.47
382.6771653543307,222375198583009.78
389.7637795275591,231820578496940.47
396.8503937007874,237912193946994.5
403.93700787401576,247109220646161.7
411.0236220472441,265090902988611.2
418.1102362204724,281086702573544.6
425.1968503937008,298008148123669.75
432.2834645669291,315537286336852.1
439.3700787401575,329639101709435.6
446.4566929133858,348249424137613.0
453.54330708661416,367542473284101.06
460.6299212598425,387109920486214.4
467.7165354330709,407046026803927.56
474.8031496062992,428796018610018.6
481.8897637795275,450223009196786.5
488.9763779527559,471679150520765.1
496.0629921259842,493301313350706.5
503.14960629921256,515015425243574.1
510.23622047244095,536541728991893.44
517.3228346456693,558736028106589.3
524.4094488188977,584634273260110.1
531.496062992126,608920968348875.4
538.5826771653543,631839700209320.9
545.6692913385826,656759875480029.4
552.755905511811,681354521889264.0
559.8425196850394,707158987805162.2
566.9291338582677,732947793333937.9
574.0157480314961,759495772237951.2
581.1023622047244,785570792615813.8
588.1889763779527,811846631932459.8
595.275590551181,838229735792682.6
602.3622047244095,863916366052321.0
609.4488188976378,891965139246015.9
616.5354330708661,918602382941981.2
623.6220472440945,946733853860624.5
630.7086614173228,977078286958222.0
637.7952755905511,1004772338002579.9
644.8818897637796,1032808591079652.1
651.9685039370079,1061025631281585.9
659.0551181102362,1089212528634707.8
666.1417322834645,1117341510855968.0
673.2283464566929,1146387913383530.5
680.3149606299212,1175152129181055.2
687.4015748031496,1205579022691562.0
694.488188976378,1240780255235865.0
701.5748031496063,1269432847473634.8
708.6614173228346,1293472273833145.5
715.7480314960629,1325148760397270.5
722.8346456692914,1356398406685783.2
729.9212598425197,1385360840158295.5
737.007874015748,1417650649977239.8
744.0944881889764,1447743359632115.5
751.1811023622047,1481868366101608.8
758.267716535433,1515377989136000.8
765.3543307086615,1544824435030538.8
772.4409448818898,1578629641996108.0
779.5275590551181,1600877721144759.0
786.6141732283464,1633260209270460.0
793.7007874015748,1668648373062123.8
800.7874015748031,1699661624119069.5
807.8740157480315,1736036195542260.0
814.9606299212599,1770050903491942.2
822.0472440944882,1802582320758072.2
829.1338582677165,1830703861145036.8
836.2204724409448,1858616488372498.0
843.3070866141732,1881672662874460.2
850.3937007874016,1906477793573953.0
857.4803149606299,1914426207161690.5
864.5669291338583,1923297916364935.8
871.6535433070866,1928404147626686.2
878.7401574803149,1924120281100939.0
885.8267716535432,1876293234146032.8
892.9133858267717,1841086475945411.5
900.0,1789202876292164.2
