ell_eff,Cl_uK2,template_F,Cl_plus_1sigma,Cl_minus_1sigma
3.200000000000000000e+01,6.527201531689639680e+00,1.496079144934937943e+01,6.812461374990565588e+00,6.241941688388713771e+00
3.700000000000000000e+01,5.274407325687890058e+00,1.021431774739686738e+01,5.469165383101691980e+00,5.079649268274088136e+00
4.200000000000000000e+01,4.964521850579740381e+00,8.225896165064844112e+00,5.121366350351049590e+00,4.807677350808431171e+00
4.700000000000000000e+01,3.800711895482539848e+00,5.427035224439345384e+00,3.904190058583296263e+00,3.697233732381783433e+00
5.200000000000000000e+01,3.030020923672680055e+00,3.739436872254793265e+00,3.101321374576265111e+00,2.958720472769095000e+00
5.700000000000000000e+01,3.054541431874750135e+00,3.256080791273321839e+00,3.116625653784960370e+00,2.992457209964539899e+00
6.200000000000000000e+01,2.675764238351340030e+00,2.454623554061493795e+00,2.722566944796712907e+00,2.628961531905967153e+00
6.700000000000000000e+01,2.535345462813849871e+00,1.988953427534905449e+00,2.573269161235307578e+00,2.497421764392392163e+00
7.200000000000000000e+01,2.360070533490420175e+00,1.569939005995251158e+00,2.390004815801513693e+00,2.330136251179326656e+00
7.700000000000000000e+01,1.847157039128539902e+00,1.031394620118929240e+00,1.866822808062799099e+00,1.827491270194280704e+00
8.200000000000000000e+01,2.001496452291729788e+00,9.275633863664746181e-01,2.019182454208298338e+00,1.983810450375161238e+00
8.700000000000000000e+01,1.913018485204939889e+00,7.271799659677425920e-01,1.926883743860928533e+00,1.899153226548951245e+00
9.200000000000000000e+01,1.796722031141519960e+00,5.536148880001544592e-01,1.807277896232925452e+00,1.786166166050114468e+00
9.700000000000000000e+01,1.642152844361310038e+00,4.055377473662682419e-01,1.649885298533802613e+00,1.634420390188817462e+00
1.040000000000000000e+02,1.698044818629500075e+00,3.023502246312576025e-01,1.703809779526944013e+00,1.692279857732056136e+00
1.130000000000000000e+02,1.571509126032349934e+00,1.792454403859040368e-01,1.574926827990832390e+00,1.568091424073867479e+00
1.220000000000000000e+02,1.416387394248489917e+00,1.013267949469164736e-01,1.418319408724234787e+00,1.414455379772745047e+00
1.310000000000000000e+02,1.305217918945789979e+00,5.772967725198040190e-02,1.306318660089229144e+00,1.304117177802350813e+00
1.400000000000000000e+02,1.346345054664370045e+00,3.648662275186090320e-02,1.347040751033376615e+00,1.345649358295363474e+00
1.490000000000000000e+02,1.195179564723370058e+00,1.974459701128094408e-02,1.195556038165202839e+00,1.194803091281537277e+00
1.580000000000000000e+02,1.195187921289440069e+00,1.200652849015645778e-02,1.195416851720512819e+00,1.194958990858367320e+00
1.670000000000000000e+02,1.084999498238679916e+00,6.622966598775073023e-03,1.085125779419762404e+00,1.084873217057597428e+00
1.760000000000000000e+02,1.032801742582079907e+00,3.831962595878973723e-03,1.032874807236001224e+00,1.032728677928158589e+00
1.850000000000000000e+02,9.812747453544139464e-01,2.215082166773859641e-03,9.813169806862767075e-01,9.812325100225511854e-01
1.940000000000000000e+02,9.205873582038880398e-01,1.265971731649749533e-03,9.206114966927518850e-01,9.205632197150241947e-01
2.030000000000000000e+02,8.263209951324459457e-01,6.932758954374573963e-04,8.263342139366760541e-01,8.263077763282158372e-01
2.120000000000000000e+02,7.842628184192179663e-01,4.020515793215671211e-04,7.842704844020574884e-01,7.842551524363784443e-01
2.210000000000000000e+02,7.448946160106659775e-01,2.336898788994451709e-04,7.448990718135867217e-01,7.448901602077452333e-01
2.300000000000000000e+02,6.722708480224609540e-01,1.292580740915927665e-04,6.722733126071779308e-01,6.722683834377439771e-01
2.390000000000000000e+02,6.327171197282079884e-01,7.466333903702516593e-05,6.327185433462342301e-01,6.327156961101817467e-01
2.480000000000000000e+02,5.530515476618409476e-01,4.010814926382368897e-05,5.530523124104448351e-01,5.530507829132370601e-01
2.570000000000000000e+02,4.954071581504940203e-01,2.210806388152082011e-05,4.954075796885429872e-01,4.954067366124450533e-01
2.660000000000000000e+02,4.503288227766160112e-01,1.238111364058804104e-05,4.503290588493230606e-01,4.503285867039089618e-01
2.750000000000000000e+02,4.218994635278580096e-01,7.154342897686726369e-06,4.218995999408773900e-01,4.218993271148386293e-01
2.840000000000000000e+02,3.529097394862180104e-01,3.695008425344685819e-06,3.529098099395445165e-01,3.529096690328915042e-01
2.930000000000000000e+02,3.188382482092380066e-01,2.063223404610785487e-06,3.188382875490541335e-01,3.188382088694218797e-01
3.020000000000000000e+02,2.702427861546869980e-01,1.081837026914936418e-06,2.702428067822494895e-01,2.702427655271245066e-01
3.110000000000000000e+02,2.363502910179499927e-01,5.858417096305573349e-07,2.363503021882891186e-01,2.363502798476108668e-01
3.200000000000000000e+02,2.087020020389259989e-01,3.205753850893455818e-07,2.087020081513890069e-01,2.087019959264629909e-01
3.290000000000000000e+02,1.836825002292689912e-01,1.749821990563612600e-07,1.836825035656830252e-01,1.836824968928549573e-01
3.380000000000000000e+02,1.558503665383760006e-01,9.214700269260251425e-08,1.558503682953578939e-01,1.558503647813941073e-01
3.470000000000000000e+02,1.299884141098860135e-01,4.773458292457732073e-08,1.299884150200490696e-01,1.299884131997229575e-01
3.560000000000000000e+02,1.165902916503999964e-01,2.660958407797901229e-08,1.165902921577692680e-01,1.165902911430307248e-01
