ell_eff,Cl_uK2,template_F,Cl_plus_1sigma,Cl_minus_1sigma
3.200000000000000000e+01,6.527201531689639680e+00,1.438285216080208606e-04,6.527201755587068277e+00,6.527201307792211082e+00
3.700000000000000000e+01,5.274407325687890058e+00,1.269700581386269548e-04,5.274407523341799298e+00,5.274407128033980818e+00
4.200000000000000000e+01,4.964521850579740381e+00,1.302009150739716413e-04,4.964522053263115353e+00,4.964521647896365408e+00
4.700000000000000000e+01,3.800711895482539848e+00,1.083628925066389105e-04,3.800712064170730375e+00,3.800711726794349321e+00
5.200000000000000000e+01,3.030020923672680055e+00,9.375593058972398570e-05,3.030021069622256480e+00,3.030020777723103631e+00
5.700000000000000000e+01,3.054541431874750135e+00,1.024310059744883963e-04,3.054541591328790329e+00,3.054541272420709941e+00
6.200000000000000000e+01,2.675764238351340030e+00,9.713198432687768571e-05,2.675764389556409384e+00,2.675764087146270676e+00
6.700000000000000000e+01,2.535345462813849871e+00,9.953031934790169683e-05,2.535345617752399860e+00,2.535345307875299881e+00
7.200000000000000000e+01,2.360070533490420175e+00,1.001113114282682284e-04,2.360070689333399141e+00,2.360070377647441209e+00
7.700000000000000000e+01,1.847157039128539902e+00,8.460321452585174338e-05,1.847157170830110662e+00,1.847156907426969141e+00
8.200000000000000000e+01,2.001496452291729788e+00,9.892073993698975352e-05,2.001496606281349511e+00,2.001496298302110066e+00
8.700000000000000000e+01,1.913018485204939889e+00,1.019667063414331302e-04,1.913018643936206242e+00,1.913018326473673536e+00
9.200000000000000000e+01,1.796722031141519960e+00,1.032312398543108528e-04,1.796722191841281902e+00,1.796721870441758018e+00
9.700000000000000000e+01,1.642152844361310038e+00,1.016581025431327118e-04,1.642153002612173784e+00,1.642152686110446291e+00
1.040000000000000000e+02,1.698044818629500075e+00,1.166131037181891239e-04,1.698045000160769424e+00,1.698044637098230725e+00
1.130000000000000000e+02,1.571509126032349934e+00,1.232060551334298844e-04,1.571509317826847107e+00,1.571508934237852761e+00
1.220000000000000000e+02,1.416387394248489917e+00,1.266481707606972331e-04,1.416387591401318202e+00,1.416387197095661632e+00
1.310000000000000000e+02,1.305217918945789979e+00,1.329980853849969274e-04,1.305218125983511168e+00,1.305217711908068789e+00
1.400000000000000000e+02,1.346345054664370045e+00,1.562266745321320050e-04,1.346345297861966550e+00,1.346344811466773539e+00
1.490000000000000000e+02,1.195179564723370058e+00,1.578329579401808493e-04,1.195179810421463040e+00,1.195179319025277076e+00
1.580000000000000000e+02,1.195187921289440069e+00,1.795259709032493312e-04,1.195188200756981400e+00,1.195187641821898739e+00
1.670000000000000000e+02,1.084999498238679916e+00,1.852824408978721046e-04,1.084999786667300903e+00,1.084999209810058929e+00
1.760000000000000000e+02,1.032801742582079907e+00,2.004215863364897478e-04,1.032802054577763196e+00,1.032801430586396618e+00
1.850000000000000000e+02,9.812747453544139464e-01,2.163061498747973182e-04,9.812750820775497651e-01,9.812744086312781278e-01
1.940000000000000000e+02,9.205873582038880398e-01,2.304293988267466786e-04,9.205877169126432946e-01,9.205869994951327850e-01
2.030000000000000000e+02,8.263209951324459457e-01,2.347869803601677051e-04,8.263213606246352372e-01,8.263206296402566542e-01
2.120000000000000000e+02,7.842628184192179663e-01,2.528767108875505632e-04,7.842632120716366284e-01,7.842624247667993043e-01
2.210000000000000000e+02,7.448946160106659775e-01,2.724859127093098680e-04,7.448950401886703654e-01,7.448941918326615896e-01
2.300000000000000000e+02,6.722708480224609540e-01,2.789231781837724642e-04,6.722712822213372519e-01,6.722704138235846560e-01
2.390000000000000000e+02,6.327171197282079884e-01,2.976720533288704186e-04,6.327175831134020934e-01,6.327166563430138835e-01
2.480000000000000000e+02,5.530515476618409476e-01,2.949757198449345832e-04,5.530520068496608266e-01,5.530510884740210686e-01
2.570000000000000000e+02,4.954071581504940203e-01,2.994920413666325569e-04,4.954076243688581016e-01,4.954066919321299389e-01
2.660000000000000000e+02,4.503288227766160112e-01,3.085110186228981195e-04,4.503293030347949588e-01,4.503283425184370636e-01
2.750000000000000000e+02,4.218994635278580096e-01,3.274825481603148617e-04,4.218999733189601753e-01,4.218989537367558440e-01
2.840000000000000000e+02,3.529097394862180104e-01,3.103170039643996132e-04,3.529102225557689265e-01,3.529092564166670942e-01
2.930000000000000000e+02,3.188382482092380066e-01,3.175434847127312616e-04,3.188387425282298571e-01,3.188377538902461561e-01
3.020000000000000000e+02,2.702427861546869980e-01,3.047958357691026455e-04,2.702432606294519202e-01,2.702423116799220759e-01
3.110000000000000000e+02,2.363502910179499927e-01,3.018332947666246780e-04,2.363507608809362059e-01,2.363498211549637795e-01
3.200000000000000000e+02,2.087020020389259989e-01,3.017379416319431015e-04,2.087024717534762819e-01,2.087015323243757159e-01
3.290000000000000000e+02,1.836825002292689912e-01,3.006086520159299141e-04,1.836829681858574981e-01,1.836820322726804844e-01
3.380000000000000000e+02,1.558503665383760006e-01,2.886765151990889830e-04,1.558508159202428578e-01,1.558499171565091435e-01
3.470000000000000000e+02,1.299884141098860135e-01,2.724700864492679629e-04,1.299888382632537476e-01,1.299879899565182795e-01
3.560000000000000000e+02,1.165902916503999964e-01,2.765212126428138973e-04,1.165907221101437630e-01,1.165898611906562299e-01
3.650000000000000000e+02,1.028303358501640036e-01,2.759185041361867860e-04,1.028307653716732384e-01,1.028299063286547688e-01
3.740000000000000000e+02,9.133252836139500730e-02,2.772171538803277634e-04,9.133295990450840396e-02,9.133209681828161064e-02
3.830000000000000000e+02,8.081931018342078388e-02,2.774507122213585447e-04,8.081974209011376364e-02,8.081887827672780411e-02
3.920000000000000000e+02,7.290694272035359857e-02,2.830451913476055101e-04,7.290738333595547793e-02,7.290650210475171922e-02
4.010000000000000000e+02,6.760890529986471331e-02,2.967875670433073993e-04,6.760936730818169205e-02,6.760844329154773458e-02
4.100000000000000000e+02,6.480633978119491878e-02,3.216259179117503773e-04,6.480684045529831738e-02,6.480583910709152018e-02
4.190000000000000000e+02,6.182522267930209980e-02,3.468369995904082735e-04,6.182576259942086649e-02,6.182468275918333311e-02
4.280000000000000000e+02,6.056966974406689103e-02,3.840365829155478424e-04,6.057026757266563421e-02,6.056907191546814784e-02
4.370000000000000000e+02,5.812511288005114268e-02,4.164537237157235313e-04,5.812576117231590955e-02,5.812446458778637581e-02
4.460000000000000000e+02,5.851943186525254692e-02,4.737096386870179874e-04,5.852016928762870940e-02,5.851869444287638444e-02
4.550000000000000000e+02,6.195671302334219283e-02,5.665370300940949545e-04,6.195759494984061366e-02,6.195583109684377199e-02
4.640000000000000000e+02,6.478587456759064833e-02,6.690535662184939319e-04,6.478691608127390422e-02,6.478483305390739244e-02
4.730000000000000000e+02,6.104449124977737867e-02,7.118258994029351807e-04,6.104559934702363105e-02,6.104338315253112629e-02
4.820000000000000000e+02,6.270495142447948811e-02,8.254186917941861356e-04,6.270623635128554085e-02,6.270366649767343536e-02
4.910000000000000000e+02,6.290931140393764276e-02,9.345922545361185678e-04,6.291076628090191969e-02,6.290785652697336583e-02
5.000000000000000000e+02,6.138341791852563317e-02,1.028898960297854786e-03,6.138501960245640321e-02,6.138181623459486314e-02
5.090000000000000000e+02,6.239310712137074305e-02,1.179616944043756881e-03,6.239494342753552913e-02,6.239127081520595697e-02
5.180000000000000000e+02,5.979577876007557274e-02,1.274715207221358178e-03,5.979776310542190415e-02,5.979379441472924134e-02
5.270000000000000000e+02,5.824024254436045711e-02,1.399410708887110708e-03,5.824242100282087109e-02,5.823806408590004313e-02
5.360000000000000000e+02,5.509682698299735865e-02,1.491601931574375317e-03,5.509914895525808848e-02,5.509450501073662881e-02
5.450000000000000000e+02,5.319178416694699679e-02,1.621743152958194864e-03,5.319430872965738577e-02,5.318925960423660781e-02
5.540000000000000000e+02,5.244848086113482882e-02,1.799982114062479181e-03,5.245128288790228827e-02,5.244567883436736938e-02
5.630000000000000000e+02,5.037902019516377755e-02,1.945121741106392360e-03,5.038204816035408290e-02,5.037599222997347220e-02
5.720000000000000000e+02,4.619669873493909701e-02,2.005435820244710551e-03,4.619982059087580223e-02,4.619357687900239179e-02
5.810000000000000000e+02,4.478373579305410662e-02,2.184389434932152048e-03,4.478713622554697515e-02,4.478033536056123809e-02
5.900000000000000000e+02,4.276831845684349320e-02,2.342201737883567534e-03,4.277196455527584179e-02,4.276467235841114461e-02
5.990000000000000000e+02,3.857435315988212710e-02,2.369953206446747448e-03,3.857804245894249501e-02,3.857066386082175918e-02
6.080000000000000000e+02,3.596941362068056813e-02,2.476982579578841485e-03,3.597326953204562500e-02,3.596555770931551127e-02
6.170000000000000000e+02,3.518814504199475196e-02,2.713334325790012127e-03,3.519236888141544922e-02,3.518392120257405470e-02
6.260000000000000000e+02,3.123482914682478018e-02,2.693940814177661191e-03,3.123902279642402219e-02,3.123063549722553817e-02
6.350000000000000000e+02,3.015397089019418095e-02,2.905441301842656698e-03,3.015849378196929637e-02,3.014944799841906553e-02
6.440000000000000000e+02,2.813349562175199853e-02,3.024370380367219675e-03,2.813820365006755586e-02,2.812878759343644119e-02
6.530000000000000000e+02,2.717538679072261168e-02,3.254619906433401256e-03,2.718045324778598296e-02,2.717032033365924040e-02
6.620000000000000000e+02,2.645775141010433054e-02,3.524530457098564405e-03,2.646323803611375786e-02,2.645226478409490323e-02
6.710000000000000000e+02,2.529030572607367938e-02,3.740884331455648394e-03,2.529612914951151134e-02,2.528448230263584742e-02
6.800000000000000000e+02,2.388777129273116084e-02,3.916067988697390957e-03,2.389386742404368824e-02,2.388167516141863345e-02
6.890000000000000000e+02,2.408557667331024874e-02,4.367172918678478670e-03,2.409237503831658175e-02,2.407877830830391572e-02
