r_kpc,C
675.2249999999999,1.2080102285682186
653.7900000000001,1.2002177255236834
632.355,1.1922700681884073
610.92,1.1841762157185343
589.48,1.1759449928874706
568.0450000000001,1.1675929473207165
546.61,1.1591329698914823
525.175,1.1505820791741985
503.74000000000007,1.141959639408942
482.305,1.1332874653601968
460.87,1.1245899041669871
439.43,1.115891861989813
417.995,1.1072269360156468
396.56,1.0986252078509327
375.12500000000006,1.0901212906752333
353.69,1.0817521692473735
332.255,1.073557008382558
310.82,1.065576895547343
289.38,1.057852746594503
267.945,1.0504320563748413
246.51,1.0433576099349633
225.075,1.0366742296484444
203.64,1.0304263542517444
182.205,1.0246574034514102
160.77,1.0194091083804608
139.33,1.0147197987818888
117.895,1.0106279609804807
96.46,1.0071649981997446
75.025,1.0043591232728957
53.59,1.0022336395113558
32.155,1.0008064658936062
10.72,1.0000897638819974
