r_kpc,kT_keV,kT_err_keV
675.2249999999999,10.559,2.7151
653.7900000000001,10.394,2.6361
632.355,10.229,2.5571
610.92,10.064,2.4781
589.48,9.8987,2.3991
568.0450000000001,9.7337,2.3201
546.61,9.5686,2.2411
525.175,9.4036,2.1622
503.74000000000007,9.2386,2.0831
482.305,9.0735,2.0042
460.87,8.9085,1.9252
439.43,8.7434,1.8462
417.995,8.5784,1.7672
396.56,8.4133,1.6882
375.12500000000006,8.2483,1.6092
353.69,8.0832,1.5302
332.255,7.9182,1.4512
310.82,7.7532,1.3722
289.38,7.5881,1.2932
267.945,7.423,1.2142
246.51000000000002,7.258,1.1352
225.075,7.093,1.0562
203.64,7.0165,1.0365
182.205,6.9475,1.0219
160.77,6.8786,1.0073
139.33,6.8096,0.99265
117.895,6.7577,0.97745
96.46,6.8145,0.95851
75.025,6.8713,0.93957
53.589999999999996,6.9281,0.92063
32.155,6.9849,0.90169
10.72,7.0418,0.88275
