r_kpc,n_e_cm3
675.2249999999999,0.00029047
653.7900000000001,0.00027586
632.355,0.00020879
610.92,0.00037007
589.48,0.00026428
568.0450000000001,0.00023888
546.61,0.00034609
525.175,0.00032464
503.74000000000007,0.00035737
482.305,0.00047229
460.87,0.00027326
439.43,0.00050287
417.995,0.00050741
396.56,0.00045849
375.12500000000006,0.00052928
353.69,0.00090978
332.255,0.00054253
310.82,0.00077253
289.38,0.00098548
267.945,0.0010575
246.51000000000002,0.001156
225.075,0.0012505
203.64,0.0014988
182.205,0.001827
160.77,0.0021445
139.33,0.0026354
117.895,0.0031496
96.46,0.0041583
75.025,0.0047223
53.589999999999996,0.0056696
32.155,0.00842
10.72,0.012905
