name,hubble_type,type_group,B_T,R_d_kpc,Sigma0,shear,compactness,v2_ape,per_galaxy_ape,delta_ape,v2_params,per_galaxy_params
CamB,Im,late,0.0,0.47,33.1,0.7918202350504602,0.00632949,149.1934356689453,57.82568359375,91.36775207519531,"{'eta': 0.8658434063522084, 'ring_amp': 2.7131452650157275, 'M_max': 2.775404805460145, 'lambda_ring': 23.007953229275884, 'kappa': np.float64(0.5603799385051849), 'R0': 0.94, 'R1': 13.16, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000762505925485, 'ring_amp': 6.481620495927982e-05, 'M_max': 2.9813184456786646, 'bulge_gate_power': 43.24698972979257, 'lambda_hat': 5.124797879730373}"
D512-2,Im,late,0.0,1.24,46.97,0.7490131351004494,0.057198720000000015,15.122457504272461,2.9777638912200928,12.144693613052368,"{'eta': 0.9184731410509049, 'ring_amp': 2.7627898193024913, 'M_max': 2.869469851671012, 'lambda_ring': 23.352707078489527, 'kappa': np.float64(0.592508694931138), 'R0': 2.48, 'R1': 34.72, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.9615711892183582, 'ring_amp': 9.635356454938574, 'M_max': 1.7500218824881075, 'bulge_gate_power': 33.224687704513705, 'lambda_hat': 18.52541686012775}"
D564-8,Im,late,0.0,0.61,10.565,0.7444917907120756,0.012708333333333334,11.146885871887207,2.645246744155884,8.501639127731323,"{'eta': 0.658197838185407, 'ring_amp': 2.767733345393548, 'M_max': 2.404280191647952, 'lambda_ring': 23.387037120788527, 'kappa': np.float64(0.4902842059355673), 'R0': 1.22, 'R1': 17.08, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.999996663015264, 'ring_amp': 2.2124913454670314, 'M_max': 4.912684255044561, 'bulge_gate_power': 38.86301527799567, 'lambda_hat': 49.999917744651356}"
D631-7,Im,late,0.0,0.7,57.52,0.4954407692909656,0.07985249999999998,42.22275924682617,16.171321868896484,26.051437377929688,"{'eta': 0.9428405978800756, 'ring_amp': 2.9491752438839827, 'M_max': 2.9130217708626924, 'lambda_ring': 24.64705030474988, 'kappa': np.float64(0.6628351506994681), 'R0': 1.4, 'R1': 19.599999999999998, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999999201750205, 'ring_amp': 0.15946820607232587, 'M_max': 4.999999997573485, 'bulge_gate_power': 4.434154724345982, 'lambda_hat': 49.99998005570658}"
DDO064,Im,late,0.0,0.69,75.825,0.16310707539762326,0.05059102999999999,24.909687042236328,12.167132377624512,12.742554664611816,"{'eta': 0.9690369147778974, 'ring_amp': 2.999385827291894, 'M_max': 2.9598424089231985, 'lambda_ring': 24.995734911749263, 'kappa': np.float64(0.7402957816155598), 'R0': 1.38, 'R1': 19.32, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.8291528070149885, 'ring_amp': 6.757315156928464, 'M_max': 1.8684416212386328, 'bulge_gate_power': 47.753923981706826, 'lambda_hat': 39.00150964338899}"
DDO154,Im,late,0.0,0.37,35.63,0.774492009815339,0.028653293333333336,21.91339874267578,5.418088436126709,16.495310306549072,"{'eta': 0.8779679552989943, 'ring_amp': 2.7338504164486603, 'M_max': 2.797074993681587, 'lambda_ring': 23.151739003115697, 'kappa': np.float64(0.5687828104350244), 'R0': 0.74, 'R1': 10.36, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999999315017274, 'ring_amp': 0.9873740753501596, 'M_max': 4.999997407099846, 'bulge_gate_power': 31.841419559668818, 'lambda_hat': 49.88786802012992}"
DDO161,Im,late,0.0,1.22,84.685,0.6658737834248012,0.18528750000000002,30.801942825317383,3.4304263591766357,27.371516466140747,"{'eta': 0.9774602564378718, 'ring_amp': 2.8441246565164318, 'M_max': 2.974897434889633, 'lambda_ring': 23.917532336919667, 'kappa': np.float64(0.6498203476082915), 'R0': 2.44, 'R1': 34.16, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.39841907464206994, 'ring_amp': 0.21199000221443182, 'M_max': 3.7698329555113768, 'bulge_gate_power': 15.16691115887254, 'lambda_hat': 31.26582017531371}"
DDO168,Im,late,0.0,1.02,46.11,0.83227781534097,0.10285000000000002,13.907855033874512,6.190116882324219,7.717738151550293,"{'eta': 0.9160238695197749, 'ring_amp': 2.661760380878449, 'M_max': 2.865092272322043, 'lambda_ring': 22.651113756100344, 'kappa': np.float64(0.5733084168033383), 'R0': 2.04, 'R1': 28.560000000000002, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999872474888256, 'ring_amp': 0.7193457222346451, 'M_max': 2.6489044554712367, 'bulge_gate_power': 43.60443460997601, 'lambda_hat': 49.99575726748928}"
DDO170,Im,late,0.0,1.95,36.965,0.653532779746515,0.2514746,6.137966156005859,3.170415163040161,2.9675509929656982,"{'eta': 0.8838253384765655, 'ring_amp': 2.854454326225416, 'M_max': 2.8075438858853445, 'lambda_ring': 23.989266154343166, 'kappa': np.float64(0.5963283400162188), 'R0': 3.9, 'R1': 54.6, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.803110361265228, 'ring_amp': 0.2623756046043349, 'M_max': 2.2689706690144225, 'bulge_gate_power': 6.242074716170146, 'lambda_hat': 28.90961641125221}"
ESO079-G014,Sbc,intermediate,0.3,5.08,1147.625,0.7387410222640899,5.365157333333333,11.695219039916992,7.666964054107666,4.028254985809326,"{'eta': 0.25473140271028605, 'ring_amp': 0.9272429734593971, 'M_max': 1.6477820304420074, 'lambda_ring': 14.224462237012, 'kappa': np.float64(0.512275740537677), 'R0': 10.16, 'R1': 142.24, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.033322833423235894, 'ring_amp': 1.7493152899563347, 'M_max': 0.6675562801079484, 'bulge_gate_power': 19.17060972591519, 'lambda_hat': 46.262038736680196}"
