complexity,loss,equation,score,sympy_format,lambda_format
1,3.7200136,1.7724131,0.0,1.77241310000000,PySRFunction(X=>1.77241310000000)
2,3.4080007,exp(x0),0.0876015098262415,exp(x0),PySRFunction(X=>exp(x0))
3,3.2551146,x0 * 2.5608115,0.0458983319520697,x0*2.5608115,PySRFunction(X=>x0*2.5608115)
5,3.2279232,(x0 * 3.305747) - 0.5764117,0.0041942620554641,x0*3.305747 - 1*0.5764117,PySRFunction(X=>x0*3.305747 - 1*0.5764117)
7,3.1997254,(x1 - (x0 * -2.0437834)) * x0,0.0043869823397667,x0*(-(-2.0437834)*x0 + x1),PySRFunction(X=>x0*(-(-2.0437834)*x0 + x1))
8,3.190645,((exp(x1) - -0.67528343) * x0) * x0,0.0028419029079817,x0*x0*(exp(x1) - 1*(-0.67528343)),PySRFunction(X=>x0*x0*(exp(x1) - 1*(-0.67528343)))
10,3.1703057,exp(x1) * (x0 * (x0 + (0.18265225 / x1))),0.0031975360723819,x0*(x0 + 0.18265225/x1)*exp(x1),PySRFunction(X=>x0*(x0 + 0.18265225/x1)*exp(x1))
11,3.1700056,((x0 * (x1 * 3.1239495)) - (-0.24651207 / x1)) * x0,9.466412168885626e-05,x0*(x0*x1*3.1239495 - (-1)*0.24651207/x1),PySRFunction(X=>x0*(x0*x1*3.1239495 - (-1)*0.24651207/x1))
12,3.1667972,(x0 * (x0 * (exp(x1) * 1.1587838))) - (-0.1512681 / x1),0.0010126243076903,x0*x0*exp(x1)*1.1587838 - (-1)*0.1512681/x1,PySRFunction(X=>x0*x0*exp(x1)*1.1587838 - (-1)*0.1512681/x1)
13,3.1665945,((((x0 * x0) + -0.03610368) * 3.2528112) * x1) - (-0.23384942 / x1),6.400993643549134e-05,(x0*x0 - 0.03610368)*3.2528112*x1 - (-1)*0.23384942/x1,PySRFunction(X=>(x0*x0 - 0.03610368)*3.2528112*x1 - (-1)*0.23384942/x1)
14,3.1645348,((x0 - 0.0854676) * ((x0 * exp(x1)) * 1.2924477)) - (-0.15599619 / x1),0.0006506580343148,(x0 - 1*0.0854676)*x0*exp(x1)*1.2924477 - (-1)*0.15599619/x1,PySRFunction(X=>(x0 - 1*0.0854676)*x0*exp(x1)*1.2924477 - (-1)*0.15599619/x1)
16,3.1616895,((x0 * ((x0 + -0.33349276) * exp(x1 * 1.4858339))) - (-0.16966994 / x1)) - -0.37203643,0.0004497627742752,x0*(x0 - 0.33349276)*exp(x1*1.4858339) - 1*(-0.37203643) - (-1)*0.16966994/x1,PySRFunction(X=>x0*(x0 - 0.33349276)*exp(x1*1.4858339) - 1*(-0.37203643) - (-1)*0.16966994/x1)
18,3.161672,((((exp(x1 * 1.4612963) * x0) * (x0 + -0.32720846)) - (-0.16591722 / x1)) - -0.34950608) * 1.0203638,2.767515347699548e-06,(x0*(x0 - 0.32720846)*exp(x1*1.4612963) - 1*(-0.34950608) - (-1)*0.16591722/x1)*1.0203638,PySRFunction(X=>(x0*(x0 - 0.32720846)*exp(x1*1.4612963) - 1*(-0.34950608) - (-1)*0.16591722/x1)*1.0203638)
20,3.160085,((exp(x1 * (x1 * 0.82310617)) * (((x0 + -0.43090168) * x0) - (-0.059501857 / x1))) - -0.17961165) * 2.1929176,0.0002510378101115,((x0*(x0 - 0.43090168) - (-1)*0.059501857/x1)*exp(x1*x1*0.82310617) - 1*(-0.17961165))*2.1929176,PySRFunction(X=>((x0*(x0 - 0.43090168) - (-1)*0.059501857/x1)*exp(x1*x1*0.82310617) - 1*(-0.17961165))*2.1929176)
24,3.1555753,x0 * (exp(x1 - (-0.36109266 / ((exp(sqrt(x1 / 0.86347467) * 1.555533) * x0) - 1.1104026))) * ((x0 * 1.3123769) - 0.1604313)),0.0003570252794035,x0*(1.3123769*x0 - 0.1604313)*exp(x1 + 0.36109266/(x0*exp(1.67399604613745*sqrt(x1)) - 1.1104026)),PySRFunction(X=>x0*(1.3123769*x0 - 0.1604313)*exp(x1 + 0.36109266/(x0*exp(1.67399604613745*sqrt(x1)) - 1.1104026)))
26,3.1547956,(x0 - 0.13608113) * ((x0 - -0.07559964) * (exp(x1 - (-0.3360859 / ((exp(sqrt(x1 / 0.97167414) * 1.6606663) * x0) - 1.1306592))) * 1.2373478)),0.0001235585065163,1.2373478*(x0 - 0.13608113)*(x0 + 0.07559964)*exp(x1 + 0.3360859/(x0*exp(1.68469796115795*sqrt(x1)) - 1.1306592)),PySRFunction(X=>1.2373478*(x0 - 0.13608113)*(x0 + 0.07559964)*exp(x1 + 0.3360859/(x0*exp(1.68469796115795*sqrt(x1)) - 1.1306592)))
