complexity,loss,equation,score,sympy_format,lambda_format,simplicity_accuracy_score
3,3.2551146,x0 * 2.5608122,0.0458983319520697,x0*2.5608122,PySRFunction(X=>x0*2.5608122),0.4036838012927931
5,3.2279232,(x0 * 3.3057358) + -0.5764036,0.0041942620554641,x0*3.3057358 - 0.5764036,PySRFunction(X=>x0*3.3057358 - 0.5764036),0.43605676033537955
7,3.1997254,x0 * (x1 + (x0 * 2.0435038)),0.0043869823397667,x0*(x0*2.0435038 + x1),PySRFunction(X=>x0*(x0*2.0435038 + x1)),0.4669842046819497
8,3.191171,x0 + abs(x2 + (x0 * 2.947017)),0.0026770595464085,x0 + Abs(x0*2.947017 + x2),PySRFunction(X=>x0 + Abs(x0*2.947017 + x2)),0.49041161548009715
10,3.1797686,abs(x2 + (x0 * 3.6602957)) + (0.19514637 / x1),0.0017897536141746,Abs(x0*3.6602957 + x2) + 0.19514637/x1,PySRFunction(X=>Abs(x0*3.6602957 + x2) + 0.19514637/x1),0.5454626662708932
