r_kpc,n_e_cm3
1184.0,0.00028571
1163.0500000000002,0.00037185
1142.1000000000001,0.00036489
1121.15,0.00033859
1100.2,0.00045308
1079.2,0.00041445
1058.2500000000002,0.00045547
1037.3000000000002,0.00044569
1016.3500000000001,0.00054898
995.41,0.0004504
974.445,0.00057224
953.4899999999999,0.00051066
932.5300000000001,0.00058135
911.575,0.00052981
890.62,0.00064014
869.6650000000001,0.00052334
848.71,0.00072521
827.75,0.00062994
806.7950000000001,0.00064144
785.8400000000001,0.00083311
764.885,0.00071932
743.93,0.00088035
722.975,0.00082807
702.0200000000001,0.00086194
681.06,0.0010537
660.1049999999999,0.0010075
639.15,0.0012083
618.195,0.0012983
597.24,0.001287
576.285,0.001344
555.33,0.0014375
534.37,0.0015993
513.415,0.0018967
492.46000000000004,0.0020572
471.505,0.0020254
450.55,0.0024569
429.595,0.0025751
408.64,0.0027081
387.68,0.0030461
366.72499999999997,0.003935
345.77000000000004,0.0040592
324.81499999999994,0.0036988
303.86,0.0038629
282.9,0.0038308
261.945,0.0038462
240.99,0.0037464
220.03499999999997,0.0044469
199.07999999999998,0.0043426
178.12499999999997,0.0049292
157.17,0.0055815
136.21,0.0062729
115.255,0.0064234
94.3,0.0074633
73.345,0.0074458
52.39,0.0090727
31.435000000000006,0.0076534
10.48,0.0063279
148.41,0.0034155
145.15,0.003499
141.89000000000001,0.0039793
138.63,0.0037305
135.365,0.0031597
132.1,0.0045324
128.84,0.0030892
125.58,0.0041949
122.32000000000001,0.0039701
119.06,0.0042876
115.79500000000002,0.0043602
112.52999999999999,0.0042831
109.27000000000001,0.0041969
106.00999999999999,0.0049111
102.75000000000001,0.0053328
99.485,0.0048338
96.22,0.0050218
92.96,0.005159
89.7,0.0067958
86.43999999999998,0.0059787
83.18,0.0067131
79.915,0.0067052
76.64999999999999,0.0072477
73.39000000000001,0.0075279
70.13,0.0075725
66.87000000000002,0.0087168
63.605,0.008687
60.339999999999996,0.010072
57.08,0.010392
53.82,0.010501
50.56,0.014657
47.300000000000004,0.01157
44.035000000000004,0.017454
40.77,0.016841
37.510000000000005,0.021069
34.25,0.022466
30.990000000000002,0.024924
27.725,0.027737
24.46,0.037026
21.2,0.042631
17.94,0.041091
14.680000000000001,0.050951
11.42,0.060553
8.155,0.065334
4.890000000000001,0.065089
1.63,0.11969
571.4999999999999,0.0015147
566.92,0.00066901
559.8799999999999,0.00053096
552.84,0.00046969
545.7950000000001,0.00039406
538.7500000000001,0.00056388
531.71,0.00049173
524.67,0.0005725
517.625,0.00051975
510.58000000000004,0.00050095
503.53999999999996,0.00048263
496.5,0.00046991
489.455,0.00054861
482.41,0.00056069
475.36999999999995,0.00054577
468.33000000000004,0.00055329
461.285,0.00056706
454.23999999999995,0.00054725
447.20000000000005,0.00053607
440.15999999999997,0.00060808
433.115,0.0006347
426.07,0.00052372
419.03000000000003,0.00037153
411.98999999999995,0.00049113
404.945,0.00063371
397.90000000000003,0.00055894
390.86,0.00060424
383.82000000000005,0.00061617
376.77500000000003,0.00070724
369.73,0.00070772
362.68999999999994,0.00067018
355.65000000000003,0.00069364
348.605,0.00067582
341.56,0.00074394
334.52000000000004,0.00079902
327.48,0.00072457
320.435,0.00070836
313.39,0.0007653
306.35,0.00073396
299.30999999999995,0.00083964
292.265,0.00078189
285.22,0.00091393
278.18,0.00094897
271.14000000000004,0.00084852
264.095,0.00091808
257.05,0.00088862
250.00999999999996,0.0011623
242.97,0.0011747
235.92499999999998,0.001082
228.88,0.001121
221.83999999999997,0.00092156
214.79999999999998,0.0013262
207.755,0.0012239
200.71,0.0013876
193.67000000000002,0.0011821
186.63000000000002,0.0013398
179.585,0.0012889
172.54,0.0016996
165.5,0.0016964
158.45999999999998,0.0017192
151.415,0.0014451
144.37,0.0014111
137.33,0.0017357
130.29000000000002,0.0016568
123.24499999999999,0.0019711
116.2,0.0020838
