galaxy,hubble_type,mass_category,geometry,M_bary,r_half,sigma_mean,median_outer_accuracy,mean_outer_accuracy,S0,rc,gamma,beta
CamB,10.0,intermediate,irregular,2500000000.0,,,,,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
D631-7,10.0,intermediate,irregular,1500000000.0,2.0,119.36620731892151,0.0,0.0,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
DDO064,10.0,intermediate,irregular,2500000000.0,1.0,795.7747154594767,0.0,0.0,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
DDO154,10.0,intermediate,irregular,1500000000.0,1.0,477.46482927568604,0.0,0.0,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
DDO161,10.0,intermediate,irregular,5000000000.0,2.0,397.88735772973837,0.0,0.0,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
DDO168,10.0,intermediate,irregular,3000000000.0,1.0,954.9296585513721,0.0,0.0,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
DDO170,10.0,intermediate,irregular,3500000000.0,,,,,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
ESO079-G014,4.0,intermediate,thin_disk,2500000000.0,15.0,3.53677651315323,0.0,0.0,0.00024716627176030274,40.94781055946767,0.9245641385842158,0.11513511393485207
ESO116-G012,7.0,intermediate,thin_disk,1500000000.0,9.0,5.89462752192205,0.0,0.0,0.00024716627176030274,40.94781055946767,0.9245641385842158,0.11513511393485207
ESO563-G021,4.0,dwarf,thin_disk,0.0,42.0,0.0,0.0,0.0,0.00024716627176030274,40.94781055946767,0.9245641385842158,0.11513511393485207
F563-1,9.0,intermediate,irregular,2500000000.0,1.0,795.7747154594767,80.2394218721733,79.36514851624115,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
F563-V2,10.0,intermediate,irregular,5000000000.0,2.0,397.88735772973837,0.0,0.0,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
F568-1,5.0,intermediate,thin_disk,2500000000.0,2.0,198.94367886486918,26.332291821162922,23.70573205749538,0.00024716627176030274,40.94781055946767,0.9245641385842158,0.11513511393485207
F568-3,7.0,intermediate,thin_disk,5000000000.0,2.0,397.88735772973837,0.0,6.503857397586474,0.00024716627176030274,40.94781055946767,0.9245641385842158,0.11513511393485207
F568-V1,7.0,intermediate,thin_disk,5000000000.0,3.0,176.8388256576615,0.0,3.122078703931476,0.00024716627176030274,40.94781055946767,0.9245641385842158,0.11513511393485207
F571-8,5.0,intermediate,thin_disk,2500000000.0,82.0,0.1183484109844552,0.0,0.0,0.00024716627176030274,40.94781055946767,0.9245641385842158,0.11513511393485207
F574-1,7.0,intermediate,thin_disk,5000000000.0,2.0,397.88735772973837,0.0,0.0,0.00024716627176030274,40.94781055946767,0.9245641385842158,0.11513511393485207
F579-V1,5.0,intermediate,thin_disk,5000000000.0,5.0,63.66197723675813,0.0,0.0,0.00024716627176030274,40.94781055946767,0.9245641385842158,0.11513511393485207
F583-1,9.0,intermediate,irregular,2500000000.0,1.0,795.7747154594767,24.223488696360057,27.944690311660974,0.0007717395258396295,31.24067513979646,0.8997510146183497,0.11513511393485207
