gal_id,r_kpc,g_obs,g_bar,g_mod
CamB,0.16,24.750625,109.513125,274.82227406688617
CamB,0.41,57.135609756097566,262.5817073170732,443.7777957936185
CamB,0.57,80.8843859649123,297.8415789473685,489.83385964623545
CamB,0.73,107.77657534246575,320.64561643835617,523.9305889720596
CamB,0.9,132.01111111111112,310.45877777777775,526.2883913636383
CamB,1.06,156.99056603773585,286.3124528301887,514.4615956554509
CamB,1.22,177.12295081967213,248.32926229508197,489.29054677312774
CamB,1.47,192.0,216.39210884353747,478.3375655275553
CamB,1.79,225.70391061452517,150.86938547486037,441.3138564858859
D512-2,0.96,546.2604166666666,247.05093749999992,467.4422771230328
D512-2,1.92,584.5052083333334,254.36333333333343,556.8775106825483
D512-2,2.88,480.50000000000006,166.04725694444446,564.5668436604008
D512-2,3.83,336.50391644908615,122.36409921671017,620.704544604975
D564-8,0.51,143.00313725490193,102.92254901960786,290.8082685453709
D564-8,1.02,223.5392156862745,101.37696078431372,326.399798326279
D564-8,1.53,256.2352941176471,80.27692810457515,347.429205108048
D564-8,2.04,235.10294117647055,60.59906862745097,374.4886789392973
D564-8,2.56,225.0,45.488828125000005,410.9160755892309
D564-8,3.07,203.5830618892508,35.20654723127036,453.67290038970185
D631-7,0.45,157.17355555555554,378.57800000000003,562.4268011107656
D631-7,0.9,352.0444444444445,470.43388888888876,686.2635024747491
D631-7,1.35,500.7407407407407,525.8278518518517,777.5561381419194
D631-7,1.8,530.4499999999999,448.3973888888889,739.7605990279181
D631-7,2.25,535.1511111111112,352.36284444444436,686.6592765832604
D631-7,2.69,559.6431226765799,288.73966542750935,667.5145792239392
D631-7,3.14,575.2388535031847,232.83519108280254,658.6828260738441
D631-7,3.59,579.2089136490251,192.51100278551533,665.8301594060692
D631-7,4.04,589.4653465346533,161.28249999999994,681.1352696147057
D631-7,4.49,597.6035634743874,134.95993318485526,699.0713147325431
D631-7,4.94,607.902834008097,114.52698380566802,719.4177373295984
