galaxy,type_code,type_label,outer_points,under_points,over_points,under_pct,over_pct,mean_off,rmse,rmse_z,mean_off_z,under_pct_z,abs_mean_off_z
CamB,10,Im,4,0,4,0.0,100.0,2.537716098253815,2.8392512450641596,-0.981588823404175,-0.054642346887403756,-1.415867823246191,0.054642346887403756
D631-7,10,Im,6,6,0,100.0,0.0,-25.523828019264844,25.691587916937905,-0.2699138037139361,-0.6924781639333364,0.8458631561910619,0.6924781639333364
DDO064,10,Im,5,5,0,100.0,0.0,-6.7552845889572755,6.8446609913538,-0.8568510295851928,-0.26587123227276827,0.8458631561910619,0.26587123227276827
DDO154,10,Im,5,5,0,100.0,0.0,-20.402187187623777,20.453853419871727,-0.43302906211635744,-0.5760638301110517,0.8458631561910619,0.5760638301110517
DDO161,10,Im,11,11,0,100.0,0.0,-14.870773806102317,15.46145721569962,-0.5885039143347998,-0.4503354112169911,0.8458631561910619,0.4503354112169911
DDO168,10,Im,4,4,0,100.0,0.0,-12.306141344630683,12.353058435207661,-0.6853066962592594,-0.39204159692670576,0.8458631561910619,0.39204159692670576
DDO170,10,Im,3,3,0,100.0,0.0,-15.270335207988898,15.658226051666956,-0.5823760742271474,-0.4594173980159014,0.8458631561910619,0.4594173980159014
ESO079-G014,4,Sbc,6,0,6,0.0,100.0,21.35213980541651,22.393249539099408,-0.3726317473403467,0.373007438429101,-1.415867823246191,0.373007438429101
ESO116-G012,7,Sd,6,6,0,100.0,0.0,-20.066345211257026,20.650512740224446,-0.4269046325801627,-0.5684301788587502,0.8458631561910619,0.5684301788587502
ESO563-G021,4,Sbc,11,5,6,45.45454545454545,54.54545454545455,16.121652587375834,36.882288187797144,0.07859068184326456,0.25411903819368714,-0.38780828713834875,0.25411903819368714
F563-1,9,Sm,6,6,0,100.0,0.0,-50.467356553338526,50.58893974461471,0.5054477536888442,-1.2594418290798661,0.8458631561910619,1.2594418290798661
F563-V2,10,Im,4,4,0,100.0,0.0,-37.26687378797329,37.291685519094735,0.09134026881092648,-0.9593963050421818,0.8458631561910619,0.9593963050421818
F568-1,5,Sc,5,5,0,100.0,0.0,-42.13926493380328,42.158252010533296,0.24289649053774462,-1.0701452208699345,0.8458631561910619,1.0701452208699345
F568-3,7,Sd,7,7,0,100.0,0.0,-16.630614791729815,18.06616331213588,-0.5073872964114313,-0.49033640361561937,0.8458631561910619,0.49033640361561937
F568-V1,7,Sd,6,6,0,100.0,0.0,-39.630754399625545,39.805356825098706,0.16962185121019738,-1.0131270518256763,0.8458631561910619,1.0131270518256763
F571-8,5,Sc,5,4,1,80.0,20.0,-29.75732018917963,37.697624206823,0.10398214555771938,-0.7887049761802574,0.3935169603036114,0.7887049761802574
F574-1,7,Sd,5,5,0,100.0,0.0,-16.940633279757137,17.046223553592917,-0.5391505973887578,-0.4973830898130051,0.8458631561910619,0.4973830898130051
F579-V1,5,Sc,5,5,0,100.0,0.0,-3.2884695456665356,4.75375538399509,-0.921966702903576,-0.18707090694412742,0.8458631561910619,0.18707090694412742
F583-1,9,Sm,9,9,0,100.0,0.0,-28.324789903596105,28.45762194828,-0.18377305793444332,-0.7561437200597225,0.8458631561910619,0.7561437200597225
F583-4,5,Sc,5,5,0,100.0,0.0,-6.124006833669929,6.82298295645985,-0.8575261341108925,-0.25152235820010976,0.8458631561910619,0.25152235820010976
IC2574,9,Sm,12,12,0,100.0,0.0,-10.994957624348459,11.5282271657328,-0.7109938642006949,-0.3622385349133995,0.8458631561910619,0.3622385349133995
IC4202,4,Sbc,11,0,11,0.0,100.0,67.32019204318046,69.36598298651293,1.0902086387912204,1.4178562191766981,-1.415867823246191,1.4178562191766981
KK98-251,10,Im,6,6,0,100.0,0.0,-2.5008495284323384,2.597425237514415,-0.9891198488374032,-0.16916839042150036,0.8458631561910619,0.16916839042150036
NGC0024,5,Sc,10,9,1,90.0,10.0,-13.801219784038514,21.448785260189876,-0.4020445659917077,-0.42602456571679864,0.6196900582473367,0.42602456571679864
NGC0055,9,Sm,8,8,0,100.0,0.0,-1.9576389030753134,2.2588521603989387,-0.9996638034790003,-0.15682127254368103,0.8458631561910619,0.15682127254368103
NGC0100,6,Scd,8,8,0,100.0,0.0,-16.805088467313727,18.03943562008069,-0.5082196590289954,-0.4943021711069954,0.8458631561910619,0.4943021711069954
NGC0247,7,Sd,9,9,0,100.0,0.0,-12.097504470516071,12.885361686388604,-0.6687295325230175,-0.38729930368334414,0.8458631561910619,0.38729930368334414
NGC0289,4,Sbc,10,10,0,100.0,0.0,-28.751506376528237,29.343342829035098,-0.1561896455988786,-0.7658429386422704,0.8458631561910619,0.7658429386422704
NGC0300,7,Sd,9,9,0,100.0,0.0,-26.366561574608653,27.015345567284623,-0.22868890556008092,-0.7116334051265382,0.8458631561910619,0.7116334051265382
NGC0801,5,Sc,5,0,5,0.0,100.0,68.99892776764854,74.27868934013665,1.2432017633521169,1.4560136978933391,-1.415867823246191,1.4560136978933391
NGC0891,3,Sb,7,0,7,0.0,100.0,104.55279741863447,105.61608607438056,2.21912132720717,2.2641492517677158,-1.415867823246191,2.2641492517677158
NGC1003,6,Scd,13,13,0,100.0,0.0,-44.186361513221,44.40892714427677,0.31298775923914707,-1.1166755013789704,0.8458631561910619,1.1166755013789704
NGC1090,4,Sbc,9,0,9,0.0,100.0,23.58137845925682,25.241172744200092,-0.28394078185317784,0.4236777882932388,-1.415867823246191,0.4236777882932388
NGC1705,11,BCD,5,5,0,100.0,0.0,-34.69619525008642,34.73266971044142,0.011646552927050786,-0.9009650640987484,0.8458631561910619,0.9009650640987484
NGC2366,10,Im,9,9,0,100.0,0.0,-6.794442914360349,6.936587973528947,-0.8539882091310339,-0.26676129671017135,0.8458631561910619,0.26676129671017135
NGC2403,6,Scd,25,25,0,100.0,0.0,-28.02795812710122,30.958395505840326,-0.10589314147898327,-0.7493967663677618,0.8458631561910619,0.7493967663677618
NGC2683,3,Sb,4,1,3,25.0,75.0,9.315032896351681,17.672437799234824,-0.5196488264321788,0.09940531988354803,-0.8504350783868777,0.09940531988354803
NGC2841,3,Sb,17,17,0,100.0,0.0,-63.63759489187892,67.63656971332571,1.0363506791908397,-1.5587999006162157,0.8458631561910619,1.5587999006162157
NGC2903,4,Sbc,12,1,11,8.333333333333334,91.66666666666667,21.811399153694566,26.680545929806307,-0.23911534649764693,0.3834463529955322,-1.2273902416264197,0.3834463529955322
