gal_id,vflat_kms,M_bary_Msun
CamB_rotmod,30.65385489762958,
D512-2_rotmod,53.569943738086366,
D564-8_rotmod,42.452180817080006,
D631-7_rotmod,74.1360552203213,
DDO064_rotmod,43.08613402848847,
DDO154_rotmod,65.76729541710966,
DDO161_rotmod,97.76837774201586,
DDO168_rotmod,55.643145695312896,
DDO170_rotmod,96.52052584836076,
ESO079-G014_rotmod,166.19551455707796,
ESO116-G012_rotmod,102.53158210737814,
ESO444-G084_rotmod,53.10292639669679,
ESO563-G021_rotmod,247.3763537827967,
F561-1_rotmod,103.50363385499502,
F563-1_rotmod,111.04081051992377,
F563-V1_rotmod,84.57311612473065,
F563-V2_rotmod,103.58284664205355,
F565-V2_rotmod,86.34720167982937,
F567-2_rotmod,95.12945732627342,
F568-1_rotmod,107.97331792895682,
F568-3_rotmod,115.1937602475478,
F568-V1_rotmod,103.37395099732342,
F571-8_rotmod,111.61948817604903,
F571-V1_rotmod,102.61154074269726,
F574-1_rotmod,107.37210741315943,
F574-2_rotmod,100.84598195282076,
F579-V1_rotmod,119.47771826636077,
F583-1_rotmod,86.10989266200268,
F583-4_rotmod,83.69668150177735,
IC2574_rotmod,90.1904054680905,
IC4202_rotmod,234.84240177536665,
KK98-251_rotmod,42.523468517790675,
NGC0024_rotmod,88.0069004417789,
NGC0055_rotmod,108.84741113859263,
NGC0100_rotmod,94.64067388879178,
NGC0247_rotmod,114.38098613748501,
NGC0289_rotmod,156.99102642635881,
NGC0300_rotmod,99.2245213777861,
NGC0801_rotmod,218.04110263832646,
NGC0891_rotmod,234.95068403761366,
NGC1003_rotmod,119.66962562125909,
NGC1090_rotmod,167.41481433208756,
NGC1705_rotmod,67.28580553887173,
NGC2366_rotmod,69.6839794774338,
NGC2403_rotmod,122.01831557568443,
NGC2683_rotmod,157.23851380158922,
NGC2841_rotmod,189.01682101559808,
NGC2903_rotmod,172.63924017844965,
NGC2915_rotmod,86.50763834676638,
NGC2955_rotmod,273.34435571121,
NGC2976_rotmod,86.3237778511738,
NGC2998_rotmod,194.55171186074494,
NGC3109_rotmod,69.45930622199825,
NGC3198_rotmod,144.14566760360114,
NGC3521_rotmod,252.37682938716836,
NGC3726_rotmod,159.77420205672536,
NGC3741_rotmod,68.04379803318854,
NGC3769_rotmod,130.71283517084862,
NGC3877_rotmod,216.40362210062216,
NGC3893_rotmod,168.30353801136513,
NGC3917_rotmod,139.39334183094348,
NGC3949_rotmod,181.5232276127772,
NGC3953_rotmod,249.41519137887207,
NGC3972_rotmod,128.65034428609286,
NGC3992_rotmod,202.52374448264825,
NGC4010_rotmod,131.7683951840058,
NGC4013_rotmod,161.6312417519843,
NGC4051_rotmod,201.03745121751996,
NGC4068_rotmod,44.77247366484481,
NGC4085_rotmod,160.7545742233608,
NGC4088_rotmod,200.58480388394943,
NGC4100_rotmod,162.47895944571886,
NGC4138_rotmod,149.66519252607586,
NGC4157_rotmod,181.34803113305523,
NGC4183_rotmod,122.67280025150487,
NGC4214_rotmod,69.31373197157765,
NGC4217_rotmod,190.09734697211672,
NGC4389_rotmod,155.10368734766917,
NGC4559_rotmod,135.12996054930315,
NGC5005_rotmod,306.7132174746405,
NGC5033_rotmod,170.4588190017769,
NGC5055_rotmod,177.08179620563502,
NGC5371_rotmod,237.35515517073785,
NGC5585_rotmod,97.55069229003279,
NGC5907_rotmod,190.82808180359433,
NGC5985_rotmod,236.00127617314666,
NGC6015_rotmod,141.93972092962272,
NGC6195_rotmod,283.3781608018879,
NGC6503_rotmod,121.51996557696245,
NGC6674_rotmod,182.31513515852077,
NGC6789_rotmod,28.485264859201113,
NGC6946_rotmod,172.72803797193467,
NGC7331_rotmod,230.0165620958454,
NGC7793_rotmod,108.0122862503261,
NGC7814_rotmod,174.28776577015637,
PGC51017_rotmod,51.18275896541215,
UGC00128_rotmod,132.39397686716208,
UGC00191_rotmod,95.03546642204732,
UGC00634_rotmod,113.15033170756139,
UGC00731_rotmod,95.28715029273027,
UGC00891_rotmod,80.84558834861842,
UGC01230_rotmod,128.04806320074698,
UGC01281_rotmod,55.69952308684284,
UGC02023_rotmod,63.77881093728572,
UGC02259_rotmod,88.8921409446578,
UGC02455_rotmod,87.79521852195981,
UGC02487_rotmod,223.96631066350827,
UGC02885_rotmod,229.14533267701816,
UGC02916_rotmod,209.04924889279843,
UGC02953_rotmod,212.44560453417932,
UGC03205_rotmod,202.36532787577875,
UGC03546_rotmod,193.20896885276647,
UGC03580_rotmod,123.93223788465863,
UGC04278_rotmod,80.25217528068846,
UGC04305_rotmod,70.99755132775624,
UGC04325_rotmod,82.61813646846983,
UGC04483_rotmod,24.31865743412199,
UGC04499_rotmod,90.54805982312965,
UGC05005_rotmod,118.55946235755381,
UGC05253_rotmod,218.0640900924753,
UGC05414_rotmod,66.33746327730996,
UGC05716_rotmod,97.01061813925146,
UGC05721_rotmod,72.30583014491091,
UGC05750_rotmod,102.18290046041415,
UGC05764_rotmod,48.97469078970945,
UGC05829_rotmod,80.0381446913261,
UGC05918_rotmod,57.072302923780974,
UGC05986_rotmod,99.74674176133448,
UGC05999_rotmod,116.1714932779957,
UGC06399_rotmod,90.61828035794613,
UGC06446_rotmod,92.25554274006879,
UGC06614_rotmod,171.9556057311941,
UGC06628_rotmod,92.94188048620406,
UGC06667_rotmod,83.664133119124,
UGC06786_rotmod,169.98833682366146,
UGC06787_rotmod,180.58680539866643,
UGC06818_rotmod,82.29812705465935,
UGC06917_rotmod,110.14528709558265,
UGC06923_rotmod,85.94369251479293,
