gal_id,Vflat_obs_kms,M_bary_Msun,Q
D631-7,57.7,483700000.0,1
DDO064,46.1,359130000.0,1
DDO161,66.3,2106740000.0,1
ESO079-G014,175.0,30042700000.0,1
ESO116-G012,109.1,3586390000.0,1
ESO563-G021,314.6,187904840000.0,1
F563-1,109.9,5207500000.0,1
F563-V2,116.6,4377770000.0,1
F568-1,0.0,9108340000.0,1
F568-3,0.0,8422350000.0,1
F568-V1,112.3,5225530000.0,1
F571-8,139.7,7452060000.0,1
F574-1,97.8,7955420000.0,1
F579-V1,112.1,8909850000.0,1
F583-1,85.8,3320580000.0,1
F583-4,0.0,1710030000.0,1
IC4202,242.6,106268080000.0,1
NGC0024,106.3,2843580000.0,1
NGC0100,88.1,4262700000.0,1
NGC0801,220.1,187142330000.0,1
NGC0891,216.1,75104460000.0,1
NGC1003,109.8,11230400000.0,1
NGC1090,164.4,47703890000.0,1
NGC2403,131.2,9275170000.0,1
NGC2841,284.8,107061250000.0,1
NGC2903,184.6,44325660000.0,1
NGC2955,0.0,198213170000.0,1
NGC2998,209.9,106640830000.0,1
NGC3109,66.2,731410000.0,1
NGC3198,150.1,33595270000.0,1
NGC3521,213.7,47942820000.0,1
NGC3741,50.1,256060000.0,1
NGC3893,174.0,36975170000.0,1
NGC3917,135.9,13494040000.0,1
NGC3953,220.8,74417060000.0,1
NGC3972,132.7,8791120000.0,1
NGC3992,241.0,135542670000.0,1
NGC4088,171.7,64583580000.0,1
NGC4100,158.2,33822660000.0,1
NGC4157,184.7,63750580000.0,1
NGC4183,110.6,10081980000.0,1
NGC4217,181.3,46056960000.0,1
NGC4559,121.2,17417130000.0,1
NGC5005,262.2,91062400000.0,1
NGC5033,194.2,70302120000.0,1
NGC5055,179.0,92051260000.0,1
NGC5371,209.5,185065900000.0,1
NGC5585,90.3,3709890000.0,1
NGC5907,215.0,115675750000.0,1
NGC5985,293.6,119773380000.0,1
NGC6195,251.7,223344310000.0,1
NGC6503,116.3,8742020000.0,1
NGC6674,241.3,150106450000.0,1
NGC6946,158.9,40627600000.0,1
NGC7331,239.0,140034610000.0,1
NGC7793,0.0,4670130000.0,1
NGC7814,218.9,38687600000.0,1
UGC00128,129.3,15893230000.0,1
UGC00191,0.0,2788190000.0,1
UGC00731,73.3,2564810000.0,1
UGC01230,103.7,12361900000.0,1
UGC01281,55.2,567520000.0,1
UGC02487,332.0,268868290000.0,1
UGC02885,289.5,255062250000.0,1
UGC03205,219.6,69691410000.0,1
UGC03546,196.9,54225750000.0,1
UGC04278,91.4,2137780000.0,1
UGC04325,90.9,1914740000.0,1
UGC04499,72.8,2239000000.0,1
UGC05005,98.9,6163690000.0,1
UGC05414,0.0,1324920000.0,1
UGC05721,79.7,1012960000.0,1
UGC05750,0.0,3129670000.0,1
UGC06399,85.0,2044420000.0,1
UGC06446,82.2,2328070000.0,1
UGC06614,199.8,91286040000.0,1
UGC06667,83.8,1774470000.0,1
UGC06786,219.4,43393400000.0,1
UGC06917,108.7,6106590000.0,1
UGC06930,107.2,8771210000.0,1
UGC06983,109.0,6595110000.0,1
UGC07125,65.2,7512570000.0,1
UGC07151,73.5,1961280000.0,1
UGC07323,0.0,3014760000.0,1
UGC07399,103.0,1568850000.0,1
UGC07524,79.5,3584070000.0,1
UGC07603,61.6,531140000.0,1
UGC07608,0.0,843550000.0000001,1
UGC08286,82.4,1481360000.0,1
UGC08490,78.6,1466100000.0,1
UGC08550,56.9,527540000.0,1
UGC09133,226.8,185922240000.0,1
UGC10310,71.4,2461180000.0,1
UGC11455,269.4,204896550000.0,1
UGC11820,0.0,3114410000.0,1
UGC11914,288.1,76195040000.0,1
UGC12632,71.7,2970020000.0,1
UGC12732,0.0,5701300000.0,1
UGCA442,56.4,419790000.0,1
