galaxy,type_code,R_last,Rd_kpc,compactness,Mbar_Msun,outer_points,outer_avg_vobs,outer_max_vobs,overall_avg_vobs,rmse_outer,bias_outer,under_pct_outer,outer_points_scored,mean_pct_close,median_pct_close
CamB,10,1.79,,,,4,16.125,20.1,10.876666666666665,2.8392512450641596,2.537716098253815,0.0,4.0,82.72160111437063,86.35473680766621
D631-7,10,7.19,,,,6,57.21666666666667,58.5,43.038125,25.691587916937905,-25.523828019264844,100.0,6.0,55.46836892141173,54.09021018176018
DDO064,10,2.98,,,,5,46.46,46.9,32.535,6.8446609913538,-6.7552845889572755,100.0,5.0,85.45474890155212,86.6240428473841
DDO154,10,5.92,,,,5,46.959999999999994,48.2,38.18333333333333,20.453853419871727,-20.402187187623774,100.0,5.0,56.560274412642855,55.254389534662586
DDO161,10,13.37,,,,11,65.71818181818182,67.5,49.25483870967741,15.461457215699618,-14.870773806102312,100.0,11.0,77.47549561309702,77.3729275427928
DDO168,10,4.12,,,,4,53.675,55.0,41.46,12.353058435207663,-12.306141344630685,100.0,4.0,77.10636132559131,77.15278444193315
DDO170,10,12.33,,,,3,60.4,62.2,52.25,15.658226051666956,-15.270335207988898,100.0,3.0,74.83139678542237,75.79808579464965
ESO079-G014,4,16.67,,,,6,169.5,178.0,119.38666666666667,22.393249539099397,21.3521398054165,0.0,6.0,87.38296514817425,87.29429703734274
ESO116-G012,7,9.86,,,,6,109.83333333333333,112.0,86.74666666666667,20.650512740224446,-20.066345211257026,100.0,6.0,81.77478728927397,81.92327921916993
ESO563-G021,4,42.41,,,,11,314.8181818181818,321.0,263.31,36.882288187797144,16.12165258737583,45.45454545454545,11.0,90.22244003838831,91.98719280768302
F563-1,9,20.1,,,,6,109.91666666666667,112.5,88.95294117647059,50.588939744614706,-50.467356553338526,100.0,6.0,54.13440976508713,53.52734813627624
F563-V2,10,10.47,,,,4,117.25,118.0,86.15,37.291685519094735,-37.26687378797329,100.0,4.0,68.2162002154818,67.69595454588118
F568-1,5,13.23,,,,5,131.2,142.0,100.88333333333333,42.158252010533296,-42.13926493380328,100.0,5.0,67.78452483369264,68.2858178266879
F568-3,7,17.98,,,,7,103.88571428571429,120.0,74.81666666666666,18.06616331213588,-16.630614791729812,100.0,7.0,84.42752933166734,85.49561102614074
F568-V1,7,17.63,,,,6,113.0,118.0,94.81333333333333,39.805356825098706,-39.630754399625545,100.0,6.0,64.9701288935445,65.48590356854285
F571-8,5,15.55,,,,5,131.8,144.0,94.16153846153846,37.697624206823,-29.75732018917963,80.0,5.0,77.50912616684136,74.87476902921799
F574-1,7,12.6,,,,5,98.41999999999999,99.7,80.74285714285715,17.046223553592917,-16.940633279757137,100.0,5.0,82.76096166661286,82.87702282515387
F579-V1,5,15.16,,,,5,113.4,114.0,100.55714285714285,4.753755383995088,-3.28846954566653,100.0,5.0,97.10845697651816,98.19684639599336
F583-1,9,16.26,,,,9,78.24444444444444,86.9,53.263999999999996,28.457621948279996,-28.324789903596105,100.0,9.0,63.42227630992368,61.18210546835024
F583-4,5,7.29,,,,5,65.16,69.9,51.23333333333334,6.8229829564598505,-6.124006833669931,100.0,5.0,90.78178966264323,90.94344443813746
IC2574,9,10.23,,,,12,60.925000000000004,67.5,43.47647058823529,11.5282271657328,-10.994957624348459,100.0,12.0,82.28225918761117,81.81630123993564
IC4202,4,25.9,,,,11,243.1818181818182,249.0,219.71875,69.36598298651293,67.32019204318046,0.0,,,
KK98-251,10,3.13,,,,6,32.050000000000004,34.6,21.583333333333332,2.597425237514415,-2.500849528432339,100.0,6.0,92.03395001170789,92.77423812865598
NGC0024,5,11.27,,,,10,106.3,110.0,84.65862068965517,21.448785260189876,-13.801219784038514,90.0,10.0,87.19241566365021,97.68772354779271
NGC0055,9,13.5,,,,8,86.1375,87.4,72.25238095238095,2.2588521603989387,-1.9576389030753134,100.0,8.0,97.73418160322038,97.90995046426188
NGC0100,6,9.62,,,,8,86.5,91.2,67.34333333333333,18.03943562008069,-16.805088467313727,100.0,8.0,80.85930977658433,79.56473952938669
NGC0247,7,14.54,,,,9,104.88888888888889,108.0,85.17307692307692,12.885361686388604,-12.097504470516071,100.0,9.0,88.53439221498115,89.93150319893337
NGC0289,4,71.12,,,,10,170.1,182.0,173.03571428571428,29.343342829035098,-28.751506376528237,100.0,10.0,83.01712956694982,83.9010947628883
NGC0300,7,11.8,,,,9,93.30000000000001,97.0,80.664,27.015345567284623,-26.366561574608653,100.0,9.0,71.83620070824124,69.67697271867462
NGC0801,5,59.82,,,,5,217.4,222.0,207.46153846153845,74.27868934013665,68.99892776764854,0.0,,,
NGC0891,3,17.11,,,,7,216.14285714285714,224.0,219.44444444444446,105.61608607438056,104.55279741863447,0.0,,,
NGC1003,6,30.24,,,,13,110.23076923076923,115.0,99.03055555555555,44.40892714427677,-44.186361513221,100.0,13.0,59.96482756167757,58.86665486573398
NGC1090,4,30.09,,,,9,163.22222222222223,165.0,149.9958333333333,25.24117274420008,23.58137845925681,0.0,9.0,85.60193216831645,86.44120567016988
NGC1705,11,6.0,,,,5,71.52000000000001,71.8,69.64999999999999,34.73266971044142,-34.69619525008642,100.0,5.0,51.48911139088866,51.21444199493978
NGC2366,10,6.06,,,,9,50.58888888888888,53.7,40.492692307692316,6.936587973528945,-6.794442914360348,100.0,9.0,86.63505659463503,86.70516673616426
NGC2403,6,20.87,,,,25,132.4,136.0,107.99726027397259,30.958395505840326,-28.02795812710122,100.0,25.0,79.01820355794484,77.76960783558134
NGC2683,3,34.62,,,,4,154.0,160.0,177.63636363636363,17.672437799234824,9.315032896351681,25.0,4.0,93.0819246128628,98.06640563194298
NGC2841,3,63.64,,,,17,282.5882352941176,294.0,301.42,67.63656971332571,-63.63759489187892,100.0,,,
NGC2903,4,24.96,,,,12,183.91666666666666,190.0,182.7058823529412,26.680545929806307,21.811399153694566,8.333333333333332,12.0,88.28130126567667,90.26960292016516
NGC2915,11,10.04,,,,11,82.43636363636364,86.5,74.11666666666669,44.36264469605149,-44.26699550371484,100.0,11.0,46.35986072167121,46.40620517489372
NGC2955,3,35.43,,,,9,261.6666666666667,276.0,252.125,117.45904188865374,115.12038320758668,0.0,,,
NGC2976,5,2.27,,,,10,78.15,88.7,51.159259259259265,19.7838883364807,15.103018049738045,0.0,10.0,81.86663425588587,87.18912333376363
NGC2998,5,42.28,,,,5,211.2,214.0,187.07692307692307,32.50059198778822,27.78292988553062,0.0,5.0,86.93358317133783,87.71905275228728
NGC3109,9,6.45,,,,9,63.477777777777774,67.3,45.764,30.050908118580622,-29.94923854706439,100.0,9.0,52.89310213215549,52.85261213834895
NGC3198,5,44.08,,,,15,149.8,154.0,125.67209302325581,22.099295325903046,-16.892511565099344,86.66666666666667,15.0,87.08993823370169,88.35325862583967
NGC3521,4,17.74,,,,14,211.35714285714286,218.0,207.4390243902439,129.5604085345758,119.06535156915932,0.0,,,
NGC3726,5,32.52,,,,5,161.6,169.0,151.83333333333334,40.971594347693205,20.963797568978805,40.0,5.0,81.54933761381514,93.27090680751068
NGC3741,10,7.0,,,,8,48.0625,51.6,36.180952380952384,27.387694622461545,-27.252405540425986,100.0,8.0,43.4324453340589,43.34420728760427
NGC3769,3,37.16,,,,5,117.8,122.0,115.875,25.22392298950639,-19.430007602892978,80.0,5.0,81.199114821916,73.26854338548168
NGC3877,5,11.35,,,,5,170.0,171.0,144.06923076923078,120.33235761458518,120.20958372932209,0.0,,,
NGC3893,5,19.05,,,,4,177.25,187.0,178.6,26.805601113361043,25.60170289324676,0.0,4.0,85.69325788676872,86.7886603363682
NGC3917,6,14.86,,,,6,137.0,138.0,114.8529411764706,15.671233160217287,13.116095026818664,16.666666666666664,6.0,90.3731595237963,89.64782786156465
NGC3953,4,15.68,,,,3,220.66666666666666,224.0,213.625,121.08990859890073,120.66109910941934,0.0,,,
NGC3972,4,8.72,,,,4,130.25,134.0,105.1,23.47172245490807,20.808058017262866,0.0,4.0,83.72349623669064,84.99839702584512
NGC3992,4,46.02,,,,4,241.0,244.0,253.66666666666666,22.23301434254112,13.313606743166247,25.0,4.0,93.0025149788614,94.89664220300072
