gal_id,suggestion_gal_src,similarity
UGC07577,UGC07577,1.0
NGC0289,NGC0289,1.0
UGC11557,UGC11557,1.0
NGC2976,NGC2976,1.0
NGC1705,NGC1705,1.0
UGC09037,UGC09037,1.0
NGC4068,NGC4068,1.0
KK98-251,KK98-251,1.0
UGC07866,UGC07866,1.0
NGC3741,NGC3741,1.0
UGC07559,UGC07559,1.0
UGC06786,UGC06786,1.0
NGC3198,NGC3198,1.0
UGC06667,UGC06667,1.0
F583-4,F583-4,1.0
NGC1090,NGC1090,1.0
UGCA442,UGCA442,1.0
NGC4559,NGC4559,1.0
DDO064,DDO064,1.0
UGC05918,UGC05918,1.0
NGC3726,NGC3726,1.0
D631-7,D631-7,1.0
DDO154,DDO154,1.0
UGC08550,UGC08550,1.0
NGC2403,NGC2403,1.0
