type_code,label,best_xi,best_gating,best_rmse,best_under_pct,best_over_pct,best_mean_off,baseline_xi,baseline_gating,baseline_rmse,baseline_under_pct,baseline_mean_off,rmse_delta,abs_mean_off_delta,under_pct_delta
0,S0,combined_radius_density_gamma,fixed,45.130012368267884,68.18181818181819,31.818181818181817,-25.392728892836086,shell_logistic_radius,fixed,45.57917314742045,72.72727272727273,-26.271643848731845,-0.4491607791525638,-0.878914955895759,-4.545454545454547
1,Sa,combined_radius_density_gamma,learned_compact,37.598161305748114,40.625,59.375,12.208914940205002,shell_logistic_radius,fixed,37.81882090209939,40.625,12.567440375476073,-0.2206595963512754,-0.35852543527107095,0.0
2,Sab,logistic_density,fixed,66.14524747964032,82.47422680412372,17.52577319587629,-50.65205486008619,shell_logistic_radius,fixed,74.64228090059136,34.5360824742268,36.27304912054278,-8.497033420951041,14.379005739543409,47.938144329896915
3,Sb,logistic_density,fixed,71.68031503526554,88.78504672897196,11.214953271028037,-52.447347517765905,shell_logistic_radius,fixed,72.51254016173058,35.51401869158879,28.619495285822975,-0.8322251264650475,23.82785223194293,53.271028037383175
4,Sbc,logistic_density,fixed,48.72384244957238,77.8688524590164,22.131147540983605,-30.03449805259324,shell_logistic_radius,fixed,76.91401399688085,14.754098360655737,50.336157092406,-28.190171547308474,-20.30165903981276,63.114754098360656
5,Sc,combined_radius_density_gamma,learned_compact,39.01148554668233,59.40594059405941,40.59405940594059,4.887017923295636,shell_logistic_radius,fixed,39.159597353397125,58.415841584158414,5.196560935335283,-0.14811180671479462,-0.3095430120396472,0.9900990099009945
6,Scd,combined_radius_density_gamma,learned_compact,44.335822578408504,63.905325443786985,36.094674556213015,-0.4867265996360453,shell_logistic_radius,fixed,44.4982093121104,63.905325443786985,-0.18137050625219112,-0.1623867337018936,0.30535609338385417,0.0
7,Sd,combined_radius_density_gamma,fixed,23.58772443675812,78.70370370370371,21.296296296296298,-11.60371880246447,shell_logistic_radius,fixed,23.65808033219902,78.70370370370371,-11.928199003269158,-0.07035589544090115,-0.32448020080468787,0.0
8,Sdm,combined_radius_density_gamma,fixed,32.80620066447022,71.73913043478261,28.26086956521739,-10.70472075930831,shell_logistic_radius,fixed,32.835124621461105,73.91304347826087,-10.98843677405508,-0.028923956990887234,-0.2837160147467692,-2.173913043478265
9,Sm,combined_radius_density_gamma,fixed,22.562507565095657,95.9349593495935,4.065040650406504,-18.69372069550845,shell_logistic_radius,fixed,22.74276047426544,96.7479674796748,-18.93242602186892,-0.1802529091697842,-0.2387053263604706,-0.8130081300813004
10,Im,combined_radius_density_gamma,learned,20.240711691591855,82.67716535433071,17.322834645669293,-10.624090289030628,shell_logistic_radius,fixed,20.300433382824387,83.46456692913385,-10.76936792516071,-0.05972169123253224,-0.14527763613008204,-0.7874015748031411
11,BCD,combined_radius_density_gamma,fixed,41.44807670369447,100.0,0.0,-41.12975714311959,shell_logistic_radius,fixed,41.593477865212115,100.0,-41.276120424455954,-0.14540116151764693,-0.14636328133636312,0.0
