galaxy,S0_default,S0_best,chi2_default,chi2_best,improvement_percent,n_points
CamB,1.5,0.10000356030847124,5.5557100484975016e+16,3216400413382894.0,93.90999946393934,9
D512-2,1.5,0.10000356030847124,3.007058613657958e+17,1.4607731146420266e+16,94.6122137059777,4
D564-8,1.5,0.10000356030847124,1.6641725927743206e+17,8036854115764424.0,94.63361356242206,6
D631-7,1.5,0.10000356030847124,3.7908370106018266e+17,1.809836942322439e+16,94.697245569528,16
DDO064,1.5,0.10000356030847124,8.186296673315387e+16,3962780174675989.5,94.61182119198882,14
DDO154,1.5,0.10000356030847124,6.341270574618776e+18,3.196544239463921e+17,94.51986852053153,12
DDO161,1.5,0.10000356030847124,1.1362433080943524e+18,5.865113689336925e+16,94.40112725891989,31
DDO168,1.5,0.10000356030847124,1.5432275462798513e+18,7.551789835598403e+16,94.5819375818964,10
DDO170,1.5,0.10000356030847124,1.7229590158424417e+18,8.83871902082841e+16,94.42764335196941,8
ESO079-G014,1.5,0.10000356030847124,2.1687293836543693e+19,1.0712284471997394e+18,94.57955619592582,15
