Galaxy,Galaxy_Type,Galaxy_Class,Baryonic_Mass_Msun,Median_G_Required_Outer,Mean_G_Required_Outer,Median_G_Ratio_Outer,Mean_G_Ratio_Outer
CamB,Im,dwarf irregular,2500000000.0,0.7132584745860614,0.8140181295434543,0.28530338983442455,0.3256072518173817
D512-2,Im,dwarf irregular,5000000000.0,2.750021604401537,2.647230228987692,0.6875054011003843,0.6705243381866178
D564-8,Im,dwarf irregular,3500000000.0,5.3644017935627275,5.3644017935627275,2.145760717425091,2.145760717425091
D631-7,Im,dwarf irregular,1500000000.0,7.707141008604561,7.683712423669903,3.0828564034418244,3.073484969467961
DDO064,Im,dwarf irregular,2500000000.0,2.7924711784921272,2.7924711784921272,1.116988471396851,1.116988471396851
DDO154,Im,dwarf irregular,1500000000.0,6.608751767482403,6.444992862930949,2.643500706992961,2.5779971451723798
DDO161,Im,dwarf irregular,5000000000.0,3.1420909461027886,3.3723343547686815,0.7855227365256972,0.8457293063630964
DDO168,Im,dwarf irregular,3000000000.0,3.6955775613623225,3.6223738008946547,1.478231024544929,1.4489495203578617
DDO170,Im,dwarf irregular,3500000000.0,3.2689494595621733,3.5819180979629275,1.3075797838248693,1.432767239185171
ESO079-G014,Sbc,spiral,2500000000.0,1.7338769272805243,1.733946233068153,0.6935507709122097,0.6935784932272613
ESO116-G012,Sd,spiral,1500000000.0,3.3586973455496034,3.46371337211515,1.3434789382198413,1.38548534884606
ESO444-G084,Im,dwarf irregular,3000000000.0,11.935736767717167,11.935736767717167,4.774294707086867,4.774294707086867
ESO563-G021,Sbc,spiral,0.0,2.3991156353704564,2.36057549793324,,
F561-1,Sm,dwarf irregular,5000000000.0,0.8387154950158507,0.8758047243966204,0.20967887375396269,0.2227172322456136
F563-1,Sm,dwarf irregular,2500000000.0,6.950707265739194,6.968357073259429,2.7802829062956773,2.787342829303772
F563-V1,Im,dwarf irregular,5000000000.0,0.9093713746354138,0.9033609649825524,0.22734284365885346,0.2258402412456381
F563-V2,Im,dwarf irregular,5000000000.0,4.632711883673361,4.565937758290131,1.1581779709183402,1.1419022507263066
F565-V2,Im,dwarf irregular,5000000000.0,6.259142764031207,6.364841110995273,1.5647856910078017,1.5984306448688264
F567-2,Sm,dwarf irregular,5000000000.0,1.662645414371041,1.7946600890969322,0.41566135359276024,0.44866502227423305
F568-1,Sc,spiral,2500000000.0,4.552962157179461,4.636041303894184,1.8211848628717846,1.854416521557674
F568-3,Sd,spiral,5000000000.0,2.845943378710631,3.0300747903678515,0.7114858446776577,0.7575186975919629
F568-V1,Sd,spiral,5000000000.0,4.757094918850432,5.025489865105217,1.2407666872509866,1.2740726644980989
F571-8,Sc,spiral,2500000000.0,6.480560365954144,6.480560365954144,2.5922241463816578,2.5922241463816578
F571-V1,Sd,spiral,5000000000.0,3.596754669069769,3.770873165398643,0.8991886672674423,0.9476977890139165
F574-1,Sd,spiral,5000000000.0,3.231782267013743,3.1492352096335354,0.8079455667534358,0.7901908527180723
F574-2,Sm,dwarf irregular,5000000000.0,0.7425078466063582,0.7143289567934344,0.18562696165158954,0.1785822391983586
F579-V1,Sc,spiral,5000000000.0,2.4066946644674454,2.4066946644674454,0.6143879846981869,0.6143879846981869
F583-1,Sm,dwarf irregular,2500000000.0,4.813779717788827,4.88281777783926,1.9255118871155308,1.953127111135704
F583-4,Sc,spiral,5000000000.0,2.595212949766885,2.737961724935632,0.6650698610799766,0.6953508018465961
IC2574,Sm,dwarf irregular,3500000000.0,2.7123139719822906,2.7966533919574403,1.0849255887929163,1.1186613567829764
IC4202,Sbc,spiral,0.0,1.423318571055066,1.4271264339675869,,
KK98-251,Im,dwarf irregular,2500000000.0,2.3291222937808156,2.2807691548756956,0.9316489175123263,0.9123076619502781
NGC0024,Sc,spiral,1500000000.0,5.495377592948973,5.495377592948973,2.198151037179589,2.198151037179589
NGC0055,Sm,dwarf irregular,1500000000.0,2.2789876527436443,2.253857907259435,0.9115950610974577,0.901543162903774
NGC0100,Scd,spiral,500000000.0,3.6894960034807314,3.6619048096330595,2.4596640023204874,2.4412698730887064
NGC0247,Sd,spiral,1500000000.0,2.6045996034371317,2.691342307568259,1.0418398413748526,1.0765369230273036
NGC0289,Sbc,spiral,2500000000.0,3.088467457884587,3.27979910416069,1.2353869831538349,1.3119196416642762
NGC0300,Sd,spiral,5000000000.0,4.548003291390216,4.602373094874547,1.1582141599706368,1.1728522630734444
NGC0801,Sc,spiral,0.0,1.5134569393589383,1.5134569393589383,,
NGC0891,Sb,spiral,0.0,1.032276781573294,1.0288893806371426,,
NGC1003,Scd,spiral,2500000000.0,6.380635323922813,6.31978778457515,2.5522541295691252,2.5279151138300597
NGC1090,Sbc,spiral,1500000000.0,1.7529669821147804,1.7442869996723516,0.7011867928459121,0.6977147998689406
NGC1705,BCD,dwarf BCD,5000000000.0,8.737398732246364,8.535022146030299,2.1933844033968684,2.165414249087416
NGC2366,Im,dwarf irregular,2500000000.0,2.7570314850470963,2.7546126446996375,1.1028125940188387,1.101845057879855
NGC2403,Scd,spiral,1500000000.0,4.455617562976938,4.515927141341698,1.7822470251907752,1.8063708565366794
NGC2683,Sb,spiral,2500000000.0,2.104857675087318,2.1062600538504976,0.8419430700349272,0.8425040215401992
NGC2841,Sb,spiral,0.0,4.472974734147891,4.438966933018203,,
NGC2903,Sbc,spiral,1500000000.0,1.8715572990359768,1.9313944137079233,0.7486229196143908,0.7725577654831693
NGC2915,BCD,dwarf BCD,2000000000.0,10.54476791954789,10.462319794143452,4.217907167819156,4.184927917657381
NGC2955,Sb,spiral,0.0,1.146022480915928,1.146022480915928,,
NGC2976,Sc,spiral,5000000000.0,1.1518599846970423,1.1153204584900125,0.2879649961742606,0.28294141177214355
NGC2998,Sc,spiral,0.0,1.928015903196631,1.928015903196631,,
NGC3109,Sm,dwarf irregular,2500000000.0,7.370654309299297,7.083938442840282,2.948261723719719,2.833575377136112
NGC3198,Sc,spiral,1500000000.0,3.48374006901831,3.4455273852469808,1.3934960276073238,1.3782109540987926
NGC3521,Sbc,spiral,2500000000.0,1.6759835972164974,1.6759835972164974,0.670393438886599,0.670393438886599
NGC3726,Sc,spiral,1000000000.0,2.294138777041937,2.2593798833662055,0.9176555108167748,0.9037519533464823
NGC3741,Im,dwarf irregular,2000000000.0,12.23745826781483,12.457501986661054,4.894983307125932,4.983000794664421
NGC3769,Sb,spiral,1000000000.0,4.012598219724964,4.016053941222192,1.6050392878899857,1.6064215764888772
NGC3877,Sc,spiral,500000000.0,0.7417601566581024,0.7396274064947398,0.4945067711054016,0.4930849376631599
NGC3893,Sc,spiral,1000000000.0,1.720095982700382,1.68433704901605,0.6880383930801528,0.67373481960642
NGC3917,Scd,spiral,1000000000.0,1.8908649301184286,1.8964070164300777,0.7563459720473715,0.7585628065720311
NGC3949,Sbc,spiral,1000000000.0,1.0064085696402545,1.0064085696402545,0.4025634278561018,0.4025634278561018
NGC3953,Sbc,spiral,0.0,0.918584629163388,0.918584629163388,,
NGC3972,Sbc,spiral,500000000.0,1.7324069902178247,1.7084613113765545,1.1549379934785498,1.1389742075843696
NGC3992,Sbc,spiral,0.0,2.165987905368171,2.165987905368171,,
NGC4010,Sd,spiral,500000000.0,1.5096086896613097,1.3651213927871937,1.0064057931075399,0.9100809285247959
NGC4013,Sb,spiral,500000000.0,2.432577167702762,2.3764951246767905,1.6217181118018413,1.5843300831178602
NGC4051,Sbc,spiral,1500000000.0,0.7355586328163011,0.7355586328163011,0.29422345312652043,0.29422345312652043
NGC4068,Im,dwarf irregular,3000000000.0,1.713399852886465,1.713399852886465,0.6853599411545859,0.6853599411545859
NGC4085,Sc,spiral,1000000000.0,0.8464830589254442,0.8464830589254442,0.3385932235701777,0.3385932235701777
NGC4088,Sbc,spiral,0.0,1.000927404201456,1.0021232170080385,,
NGC4100,Sbc,spiral,1000000000.0,1.800842735884357,1.7944979474876261,0.7203370943537428,0.7177991789950503
