name,hubble_type,type_group,B_T,R_d_kpc,Sigma0,shear,bar_class,g_bar,v2p3_ape,per_galaxy_ape,delta_ape,v2p3_params,per_galaxy_params
F583-4,Sc,intermediate,0.15,1.93,41.67,0.7724552562833721,S,0.7316,27.123367309570312,9.000103950500488,18.123263359069824,"{'eta': 0.2803663007913655, 'ring_amp': 1.2750884016749997, 'M_max': 1.4187368036145487, 'lambda_ring': 8.820850786910547, 'kappa': 0.80575, 'R_ring': 25.8, 'sigma_ring': 0.5412441723868427, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.08750147618009674, 'ring_amp': 6.090576639113926, 'M_max': 2.2658004135485608, 'bulge_gate_power': 32.940944302894046, 'lambda_hat': 34.08302418713297}"
IC2574,Sm,late,0.03,2.78,40.16,0.5266092111924736,S,0.7316,17.988191604614258,5.154267311096191,12.833924293518066,"{'eta': 0.4677397952720985, 'ring_amp': 1.9740909780634799, 'M_max': 1.3456378019988526, 'lambda_ring': 8.342441967197711, 'kappa': 0.9586299999999999, 'R_ring': 29.16, 'sigma_ring': 0.4511566788331741, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.31875255134628333, 'ring_amp': 3.9327494965577836, 'M_max': 3.883873573334366, 'bulge_gate_power': 8.464664694200772, 'lambda_hat': 10.934788207185504}"
IC4202,Sbc,intermediate,0.3,4.78,4444.265,0.8192350446640553,SB,0.45,45.309391021728516,18.276592254638672,27.032798767089844,"{'eta': 0.23974844808944057, 'ring_amp': 0.45065834999999993, 'M_max': 1.3132391512658665, 'lambda_ring': 8.450835500230614, 'kappa': 0.6429999999999999, 'R_ring': 21.599999999999998, 'sigma_ring': 0.5559387087742895, 'g_bar': 0.45, 'bulge_gate_power': 2.0, 'R_bar': 7.17, 'w_bar': 0.9560000000000001, 'gamma_bar_taper': 2.5, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.010752637368131817, 'ring_amp': 14.99999676810502, 'M_max': 4.2802908195242875, 'bulge_gate_power': 23.92977821815692, 'lambda_hat': 49.999975510375876}"
KK98-251,Im,late,0.0,1.34,26.05,0.9134383986861417,S,0.7316,27.239696502685547,6.03050422668457,21.209192276000977,"{'eta': 0.4779684241255596, 'ring_amp': 2.1948, 'M_max': 1.7764700694126798, 'lambda_ring': 10.537373636474731, 'kappa': 1.0, 'R_ring': 30.0, 'sigma_ring': 0.5829581018780479, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.9986340298942247, 'ring_amp': 10.427109865675233, 'M_max': 2.841462312089197, 'bulge_gate_power': 28.94993289146404, 'lambda_hat': 7.630711908412413}"
NGC0024,Sc,intermediate,0.15,1.34,591.29,1.238323226306728,S,0.7316,27.95198631286621,7.551593780517578,20.400392532348633,"{'eta': 0.45510341425738815, 'ring_amp': 1.2750884016749997, 'M_max': 1.6677213648067548, 'lambda_ring': 10.566623929440485, 'kappa': 0.80575, 'R_ring': 25.8, 'sigma_ring': 0.6527682612383101, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': 2.68, 'w_shear': 0.536, 'gamma_shear_taper': 2.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.5716936342457126, 'ring_amp': 14.81132464109241, 'M_max': 1.172381090811818, 'bulge_gate_power': 32.13769056654479, 'lambda_hat': 10.366767940837988}"
NGC0055,Sm,late,0.03,6.11,195.795,0.7154175177098026,S,0.7316,5.211539268493652,3.0150744915008545,2.196464776992798,"{'eta': 0.6576182469603142, 'ring_amp': 1.9740909780634799, 'M_max': 1.5146493321748402, 'lambda_ring': 9.08746686011306, 'kappa': 0.9586299999999999, 'R_ring': 29.16, 'sigma_ring': 0.5221793492495483, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.16982362185900982, 'ring_amp': 0.5012732881476034, 'M_max': 1.202077851448737, 'bulge_gate_power': 51.097713150633794, 'lambda_hat': 43.700659109657366}"
NGC0100,Scd,late,0.08,1.66,596.76,0.9443594154215614,S,0.7316,11.49213981628418,4.679586887359619,6.8125529289245605,"{'eta': 0.6219389908440653, 'ring_amp': 1.64910942547968, 'M_max': 1.6370796677133355, 'lambda_ring': 9.979176518318639, 'kappa': 0.8924799999999999, 'R_ring': 27.76, 'sigma_ring': 0.5910974487632175, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.8872968161035519, 'ring_amp': 0.010464488681194217, 'M_max': 2.953921595428708, 'bulge_gate_power': 54.45097483928447, 'lambda_hat': 9.876698001742664}"
NGC0247,Sd,late,0.06,3.74,253.395,0.6503545620219109,S,0.7316,11.77028751373291,4.630248069763184,7.140039443969727,"{'eta': 0.6063740490400188, 'ring_amp': 1.7729373199276797, 'M_max': 1.422510226811139, 'lambda_ring': 8.688634117478449, 'kappa': 0.91852, 'R_ring': 28.32, 'sigma_ring': 0.49895416385148533, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 1.879993025907167, 'ring_amp': 11.204778135479216, 'M_max': 1.393413676217913, 'bulge_gate_power': 33.04955262781546, 'lambda_hat': 19.893679231371348}"
NGC0289,Sbc,intermediate,0.3,6.74,34.98,1.4153458358191804,SB,0.45,16.23345375061035,26.695493698120117,-10.462039947509766,"{'eta': 0.12658110371965467, 'ring_amp': 0.45065834999999993, 'M_max': 1.4482296412172584, 'lambda_ring': 9.463199881659808, 'kappa': 0.6429999999999999, 'R_ring': 21.599999999999998, 'sigma_ring': 0.6789348003486277, 'g_bar': 0.45, 'bulge_gate_power': 2.0, 'R_bar': 10.11, 'w_bar': 1.348, 'gamma_bar_taper': 2.5, 'R_shear': 13.48, 'w_shear': 2.696, 'gamma_shear_taper': 2.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.010090887355050067, 'ring_amp': 9.183789547970386, 'M_max': 0.5000001408490987, 'bulge_gate_power': 34.03989279114407, 'lambda_hat': 18.226615671635866}"
NGC0300,Sd,late,0.06,1.75,218.675,0.8932239523641298,S,0.7316,18.714513778686523,3.078833818435669,15.635679960250854,"{'eta': 0.5919794776758514, 'ring_amp': 1.7729373199276797, 'M_max': 1.6327118455722751, 'lambda_ring': 9.867504888010103, 'kappa': 0.91852, 'R_ring': 28.32, 'sigma_ring': 0.5774453412501738, 'g_bar': 0.7316, 'bulge_gate_power': 2.0, 'R_bar': None, 'w_bar': None, 'gamma_bar_taper': 0.0, 'R_shear': None, 'w_shear': None, 'gamma_shear_taper': 0.0, 'R0': 5.0, 'R1': 70.0, 'p': 2.0, 'q': 3.5}","{'eta': 0.6645354504815157, 'ring_amp': 4.593815311821863, 'M_max': 4.238574297245658, 'bulge_gate_power': 14.351570395080692, 'lambda_hat': 5.000024579337943}"
