Galaxy,rmse,median_ape,n_points
CamB,10.2123283798609,1.0817115405476918,9
D631-7,14.203063963700783,0.288127500069862,16
DDO064,6.160832154526527,0.19619339004575959,14
DDO154,14.044772012234912,0.36133672951164675,12
DDO161,6.794856734494475,0.11737461156340054,31
DDO168,5.720485443469173,0.08966155220164043,10
DDO170,9.879442317026623,0.1687194446629073,8
ESO079-G014,25.024395347604496,0.12095419611513787,15
ESO116-G012,9.638060239718373,0.08941203834137341,15
ESO563-G021,39.88807042260968,0.12140418014788341,30
F563-1,42.98615760990528,0.45497980919266706,17
F563-V2,33.55814633855648,0.4660348312268857,10
F568-1,42.08090859949386,0.37417263420004043,12
F568-3,19.974781861811234,0.2081766510516655,18
F568-V1,44.16329027590487,0.4679075935525645,15
F571-8,36.60893234738406,0.31750983887411477,13
F574-1,16.565436225077605,0.16570459086227401,14
F579-V1,24.858396964115414,0.18886901663109656,14
F583-1,27.095895115096873,0.5067953893996656,25
F583-4,5.096364147926624,0.08104232696477567,12
IC2574,4.356897908424038,0.06298811882272684,34
IC4202,84.02542686533621,0.3659543588131334,32
KK98-251,1.9782833603551948,0.08737743262930124,15
NGC0024,25.151854512147946,0.2752870570996515,29
NGC0055,8.167821417283244,0.05817614406088137,21
NGC0100,5.063036744440187,0.07566870525132417,21
NGC0247,9.659377466522708,0.06799883972013357,26
NGC0289,55.0353621183694,0.11825530525876134,28
NGC0300,14.077853564865492,0.163763850701821,25
NGC0801,67.84665212499651,0.32883317201206874,13
NGC0891,156.70767504622376,0.6992592335621484,18
NGC1003,26.241907725558903,0.2271395244367882,36
NGC1090,45.02963725001266,0.28979770728774845,24
NGC1705,25.676205669327754,0.3818639019690986,14
NGC2366,5.221205222573457,0.12530638348484877,26
NGC2403,19.801962388107242,0.11268481919778703,73
NGC2683,37.47906715409127,0.20073170159598153,11
NGC2841,45.909435201564506,0.11339233231083162,50
NGC2903,70.52024894462303,0.23823795679171747,34
NGC2915,37.26646344301002,0.4898352947581234,30
NGC2955,85.27077523655407,0.31880868187855105,24
NGC2976,29.45505216065003,0.3999759497504056,27
NGC2998,32.42855105454493,0.16090274542424352,13
NGC3109,19.744810145617397,0.4038315323445184,25
NGC3198,18.22775906381105,0.09899057948942523,43
NGC3521,72.20753028764645,0.34499329918304616,41
NGC3726,44.93426833265931,0.29706184120933204,12
NGC3741,20.24118124343352,0.5396098258354918,21
NGC3769,22.444333724996923,0.14628385566187097,12
NGC3877,116.27989164716823,0.7170764680138526,13
NGC3893,58.38845164653668,0.30153539963324805,10
NGC3917,25.27328435976689,0.17273744336205965,17
NGC3953,146.68952918228084,0.652286122792495,8
NGC3972,31.22016703431385,0.3034181185309588,10
NGC3992,51.38997108930225,0.21602397918924202,9
NGC4010,36.92393970342239,0.34520836187235693,12
NGC4013,48.94723764211371,0.25455804224599526,36
NGC4088,125.80435507932575,0.7702347845470288,12
NGC4100,43.17739897656014,0.23183062780020017,24
NGC4157,78.41254424818082,0.41499550510228506,17
NGC4183,8.160463992985623,0.015434310658242622,23
NGC4214,16.237307636732794,0.22894908370370345,14
NGC4217,118.21874165035642,0.5872255048197059,19
NGC4559,24.78069833416827,0.23972001070154908,32
NGC5005,157.1598795956147,0.5334493178541886,18
NGC5033,41.48202006982533,0.05318859818778275,22
NGC5055,62.473526284801046,0.2246366221610911,28
NGC5371,113.9032325787134,0.5811964019803079,19
NGC5585,9.57080002236609,0.14052514969288157,24
NGC5907,41.368542017267494,0.19293533323527026,19
NGC5985,40.774450962347494,0.08618241638357188,33
NGC6015,11.76273477704048,0.07289345847921186,44
NGC6195,106.90775129891529,0.4036886658519956,23
NGC6503,17.04935732666161,0.1250913044545016,31
NGC6674,11.322557713652875,0.024249216379136577,15
NGC6946,71.48838113291232,0.42906070029635274,58
NGC7331,123.49942544399329,0.47043852592313096,36
