Complexity,Loss,Equation
1,1.0395819,"1.591902"
2,0.40357646,"exp(x0)"
3,0.12348922,"x2 * -1.6764946"
5,0.10349636,"-0.31213367 - (x2 * 1.9276693)"
6,0.058324445,"exp((1.1176078 / x2) - -1.6967994)"
8,0.014084997,"x1 * exp((2.443694 / x2) - -3.1377141)"
9,0.0140849855,"abs(exp((2.4438066 / x2) - -3.1378288) * x1)"
10,0.007787878,"x1 * (exp((2.5626864 / x2) - -3.2007418) - -0.08096293)"
11,0.007425338,"abs(x1 * (0.096090384 - exp((2.3227575 / x2) - -3.0764775)))"
12,0.0059163393,"-0.5461059 + ((exp((2.534737 / x2) - -3.32184) - -0.35320294) * x1)"
13,0.0059162895,"abs(((exp((2.534737 / x2) - -3.321862) - -0.353235) * x1) + -0.54605913)"
20,0.0054793963,"((((exp((3.3297696 / x2) - -3.1859596) - 0.002197247) * ((x1 + 0.35436323) - 0.10783665)) - 0.29072174) + 0.32214692) / x0"
