Galaxy,Galaxy_Type,Galaxy_Class,Radius_kpc,Boundary_kpc,In_Outer_Region,Observed_Speed_km_s,Baryonic_Speed_km_s,GR_Speed_km_s,GR_Percent_Off,G_Predicted,Predicted_Speed_km_s,Model_Percent_Off,Baryonic_Mass_Msun,Model
CamB,Im,dwarf irregular,0.16,0.895,False,1.99,4.185940754478018,4.185940754478018,110.3487816320612,1.0,4.185940754478018,110.3487816320612,2500000000.0,shell
CamB,Im,dwarf irregular,0.41,0.895,False,4.84,10.375861410022784,10.375861410022784,114.37730185997488,1.0,10.375861410022784,114.37730185997488,2500000000.0,shell
CamB,Im,dwarf irregular,0.57,0.895,False,6.79,13.029570215475259,13.029570215475259,91.89352305560027,1.1146501402371367,13.75622840436348,102.59541096264329,2500000000.0,shell
CamB,Im,dwarf irregular,0.73,0.895,False,8.87,15.299388876683931,15.299388876683931,72.4846547540466,1.462107943059268,18.49966234751891,108.56440076120532,2500000000.0,shell
CamB,Im,dwarf irregular,0.9,0.895,True,10.9,16.715648357153245,16.715648357153245,53.35457208397472,1.9816562525936565,23.530837646380675,115.87924446220804,2500000000.0,shell
CamB,Im,dwarf irregular,1.06,0.895,True,12.9,17.420998823259247,17.420998823259247,35.04650250588563,2.0519827477269645,24.955133870347275,93.4506501577308,2500000000.0,shell
CamB,Im,dwarf irregular,1.22,0.895,True,14.7,17.405795012006777,17.405795012006777,18.406768789161756,2.1124036404838553,25.297774566296887,72.09370453263189,2500000000.0,shell
CamB,Im,dwarf irregular,1.47,0.895,True,16.8,17.835257217096704,17.835257217096704,6.162245339861327,2.192521690779843,26.408961675139395,57.1962004472583,2500000000.0,shell
CamB,Im,dwarf irregular,1.79,0.895,True,20.1,16.433386747715762,16.433386747715762,18.241856976538504,2.2771704616532564,24.798467727388402,23.375461330290552,2500000000.0,shell
D512-2,Im,dwarf irregular,0.96,1.915,False,22.9,15.400288958328021,15.400288958328021,32.74982987629684,1.0000096608596878,15.400363348163744,32.74950502985264,5000000000.0,shell
D512-2,Im,dwarf irregular,1.92,1.915,True,33.5,22.099266956168478,22.099266956168478,34.032038936810515,1.724023165428309,29.0167933424126,13.3827064405594,5000000000.0,shell
D512-2,Im,dwarf irregular,2.88,1.915,True,37.2,21.86815264259878,21.86815264259878,41.21464343387425,1.8757299701332724,29.950029565431983,19.489167834860268,5000000000.0,shell
D512-2,Im,dwarf irregular,3.83,1.915,True,35.9,21.64842950423887,21.64842950423887,39.697967954766376,1.9823920281135377,30.480435442091967,15.096280105593403,5000000000.0,shell
