Galaxy,Galaxy_Type,Galaxy_Class,Baryonic_Mass_Msun,Median_G_Required_Outer,Mean_G_Required_Outer,Median_G_Ratio_Outer,Mean_G_Ratio_Outer
CamB,Im,dwarf irregular,2500000000.0,0.7132584745860614,0.8140181295434543,0.3376525494070283,0.37621810456249144
D512-2,Im,dwarf irregular,5000000000.0,2.750021604401537,2.647230228987692,1.3872239019335055,1.4209460668365643
D564-8,Im,dwarf irregular,3500000000.0,5.3644017935627275,5.3644017935627275,2.8148303161779182,2.8148303161779182
D631-7,Im,dwarf irregular,1500000000.0,7.707141008604561,7.683712423669903,3.423253286876136,3.412287157705248
DDO064,Im,dwarf irregular,2500000000.0,2.7924711784921272,2.7924711784921272,1.3456609329876443,1.3456609329876443
DDO154,Im,dwarf irregular,1500000000.0,6.608751767482403,6.444992862930949,2.783199433818056,2.715011632950476
DDO161,Im,dwarf irregular,5000000000.0,3.1420909461027886,3.3723343547686815,1.6608174695264952,1.7801424687999787
DDO168,Im,dwarf irregular,3000000000.0,3.6955775613623225,3.6223738008946547,1.8923604407076113,1.8422966547112898
DDO170,Im,dwarf irregular,3500000000.0,3.2689494595621733,3.5819180979629275,1.7057554392323786,1.7788246670777603
ESO079-G014,Sbc,spiral,2500000000.0,1.7338769272805243,1.733946233068153,0.8534901176463369,0.8539957934588118
ESO116-G012,Sd,spiral,1500000000.0,3.3586973455496034,3.46371337211515,1.4863602754858412,1.532360696419966
ESO444-G084,Im,dwarf irregular,3000000000.0,11.935736767717167,11.935736767717167,5.979353736198606,5.979353736198606
ESO563-G021,Sbc,spiral,0.0,2.3991156353704564,2.36057549793324,,
F561-1,Sm,dwarf irregular,5000000000.0,0.8387154950158507,0.8758047243966204,0.4635494193221465,0.48799948274357435
F563-1,Sm,dwarf irregular,2500000000.0,6.950707265739194,6.968357073259429,3.171171893114926,3.1877045631514744
F563-V1,Im,dwarf irregular,5000000000.0,0.9093713746354138,0.9033609649825524,0.475190196281467,0.4754018400513389
F563-V2,Im,dwarf irregular,5000000000.0,4.632711883673361,4.565937758290131,2.435750099550698,2.455303804314665
F565-V2,Im,dwarf irregular,5000000000.0,6.259142764031207,6.364841110995273,3.26228002102896,3.3895185921602176
F567-2,Sm,dwarf irregular,5000000000.0,1.662645414371041,1.7946600890969322,0.8387479424295915,0.9145945230213748
F568-1,Sc,spiral,2500000000.0,4.552962157179461,4.636041303894184,2.1304393740638785,2.1654846029904546
F568-3,Sd,spiral,5000000000.0,2.845943378710631,3.0300747903678515,1.5039039441125948,1.5567755527092924
F568-V1,Sd,spiral,5000000000.0,4.757094918850432,5.025489865105217,2.7534336762648923,2.7457826821957503
F571-8,Sc,spiral,2500000000.0,6.480560365954144,6.480560365954144,3.1229102651084677,3.1229102651084677
F571-V1,Sd,spiral,5000000000.0,3.596754669069769,3.770873165398643,1.8694455352914878,1.9535360512386155
F574-1,Sd,spiral,5000000000.0,3.231782267013743,3.1492352096335354,1.714353134349073,1.6823373914845412
F574-2,Sm,dwarf irregular,5000000000.0,0.7425078466063582,0.7143289567934344,0.36658809952929433,0.36146572942554395
F579-V1,Sc,spiral,5000000000.0,2.4066946644674454,2.4066946644674454,1.3618428427123797,1.3618428427123797
F583-1,Sm,dwarf irregular,2500000000.0,4.813779717788827,4.88281777783926,2.211777031373826,2.258685408506457
F583-4,Sc,spiral,5000000000.0,2.595212949766885,2.737961724935632,1.4758824292934893,1.5418189368227508
IC2574,Sm,dwarf irregular,3500000000.0,2.7123139719822906,2.7966533919574403,1.348677529504818,1.346250536891934
IC4202,Sbc,spiral,0.0,1.423318571055066,1.4271264339675869,,
KK98-251,Im,dwarf irregular,2500000000.0,2.3291222937808156,2.2807691548756956,1.0878946694730733,1.074139363525507
NGC0024,Sc,spiral,1500000000.0,5.495377592948973,5.495377592948973,2.420830253684932,2.420830253684932
NGC0055,Sm,dwarf irregular,1500000000.0,2.2789876527436443,2.253857907259435,1.0114011949513257,1.0011008057375328
NGC0100,Scd,spiral,500000000.0,3.6894960034807314,3.6619048096330595,2.4596640023204874,2.4412698730887064
NGC0247,Sd,spiral,1500000000.0,2.6045996034371317,2.691342307568259,1.131133946472988,1.168652911460468
NGC0289,Sbc,spiral,2500000000.0,3.088467457884587,3.27979910416069,1.5304736355214743,1.6092459406048873
NGC0300,Sd,spiral,5000000000.0,4.548003291390216,4.602373094874547,2.570238148040244,2.601666397069739
NGC0801,Sc,spiral,0.0,1.5134569393589383,1.5134569393589383,,
NGC0891,Sb,spiral,0.0,1.032276781573294,1.0288893806371426,,
NGC1003,Scd,spiral,2500000000.0,6.380635323922813,6.31978778457515,3.1734148560567883,3.1146090869958125
NGC1090,Sbc,spiral,1500000000.0,1.7529669821147804,1.7442869996723516,0.7762916834649094,0.772752549845966
NGC1705,BCD,dwarf BCD,5000000000.0,8.737398732246364,8.535022146030299,4.856548009040362,4.801729510337076
NGC2366,Im,dwarf irregular,2500000000.0,2.7570314850470963,2.7546126446996375,1.3586061420440156,1.3576027905278896
NGC2403,Scd,spiral,1500000000.0,4.455617562976938,4.515927141341698,1.9846154281974537,2.0060397156937237
NGC2683,Sb,spiral,2500000000.0,2.104857675087318,2.1062600538504976,1.0328876392384447,1.0339468809900394
NGC2841,Sb,spiral,0.0,4.472974734147891,4.438966933018203,,
NGC2903,Sbc,spiral,1500000000.0,1.8715572990359768,1.9313944137079233,0.8327986319782282,0.8581747352037344
NGC2915,BCD,dwarf BCD,2000000000.0,10.54476791954789,10.462319794143452,4.931323723549988,4.91048822209418
NGC2955,Sb,spiral,0.0,1.146022480915928,1.146022480915928,,
NGC2976,Sc,spiral,5000000000.0,1.1518599846970423,1.1153204584900125,0.6376063523920185,0.6274103107169067
NGC2998,Sc,spiral,0.0,1.928015903196631,1.928015903196631,,
NGC3109,Sm,dwarf irregular,2500000000.0,7.370654309299297,7.083938442840282,3.408569681555106,3.277773780405283
NGC3198,Sc,spiral,1500000000.0,3.48374006901831,3.4455273852469808,1.5460344478946155,1.5289780799561896
NGC3521,Sbc,spiral,2500000000.0,1.6759835972164974,1.6759835972164974,0.818407396813517,0.818407396813517
NGC3726,Sc,spiral,1000000000.0,2.294138777041937,2.2593798833662055,0.9355162604278462,0.9212841856793773
NGC3741,Im,dwarf irregular,2000000000.0,12.23745826781483,12.457501986661054,5.7650540402656105,5.868598707865161
