Galaxy_Type,Galaxy_Class,Mass_Category,Galaxies,Avg_GR_Percent_Off,Median_GR_Percent_Off,Avg_Model_Percent_Off,Median_Model_Percent_Off,Median_G_Ratio_Outer,Mean_G_Ratio_Outer
BCD,dwarf BCD,dwarf,5,48.02166375724038,59.52761148842415,44.70684135009914,54.62296063214649,3.1466966746009066,2.837415641264486
Im,dwarf irregular,dwarf,39,40.86687472715551,41.073495072407695,28.40580667482752,23.998479337390577,1.3872239019335055,1.8154236789906246
S0,lenticular,dwarf,2,38.136115382736264,38.283746989300525,17.639064433835742,17.72214401578101,1.297704404317067,1.2948831443728066
S0,lenticular,ultra-light,1,,,,,,
Sa,spiral,dwarf,1,52.19629260065456,52.19629260065456,30.025340452937172,30.025340452937172,2.0433748653204344,2.0433748653204344
Sa,spiral,ultra-light,2,,,,,,
Sab,spiral,dwarf,3,33.62899890028353,41.15626845465274,36.62116163455959,27.468330857162048,1.6033279300586893,1.314522581579319
Sab,spiral,ultra-light,7,34.9879934391342,35.136356557674574,20.37687838570328,20.55858535423927,1.585692464815938,1.5833621889741456
Sb,spiral,dwarf,3,30.29846749944818,31.073118111826485,21.54748930220336,21.8967922077473,1.0328876392384447,1.0578775061407164
Sb,spiral,ultra-light,9,35.040062263690785,35.88396062458076,20.440649411538345,21.474209601014106,1.6217181118018413,1.5843300831178602
Sbc,spiral,dwarf,9,26.037488200731058,24.471104820663985,35.763389019669305,16.371384784442633,0.7762916834649094,0.7348496753642244
Sbc,spiral,ultra-light,9,23.20795664077403,24.024242942215757,6.136203864471007,6.949081193385438,1.1549379934785498,1.1389742075843696
Sc,spiral,dwarf,10,36.27988352421451,36.699983776452015,28.535052353588593,22.805799316541364,1.4188626360029346,1.472574969589387
Sc,spiral,ultra-light,6,16.34249527509534,16.109632150828443,42.48987441307318,42.204676495891086,0.4945067711054016,0.4930849376631599
Scd,spiral,dwarf,10,38.77388343364813,42.68154687245124,22.423233787224596,19.65194915799623,1.2484560542163186,1.427631150693853
Scd,spiral,ultra-light,6,46.39369989125325,46.729477996156234,34.34595886753404,34.75720137943955,2.3535639686270833,2.743495228201558
Sd,spiral,dwarf,15,46.58187833012055,46.367053882158174,24.1247252030794,23.625240250052883,1.714353134349073,1.850123406813403
Sd,spiral,ultra-light,1,14.585738319277421,18.610587941796815,7.770793157468872,2.3023655316841594,1.0064057931075399,0.9100809285247959
Sdm,spiral,dwarf,9,38.38534369389902,39.10970035478288,24.647325815429745,20.736842749478757,1.5174002283102803,1.5385172744290219
Sdm,spiral,ultra-light,1,52.06852789767678,51.848980684132705,41.296175364430624,41.02728604061421,2.8753967037497783,2.904323662328915
Sm,dwarf irregular,dwarf,27,42.901822835361386,44.608600223336914,26.41324487803027,26.42217969333943,1.348677529504818,1.6310927558042319
