Complexity,Loss,Equation
1,1.1828976,"3.7352984"
3,0.5604735,"4.8896966 - x1"
4,0.4097687,"log(x0 * 161.63551)"
5,0.20557149,"(0.45162988 / x2) + 4.6205273"
7,0.19701758,"((0.529686 / x2) + 5.133676) - x0"
8,0.14459205,"4.395532 - abs((0.50974894 / x2) + 0.5233198)"
11,0.10681732,"((0.24887073 / x1) + (x2 + 5.5999236)) - (-0.6016469 / x2)"
12,0.09809102,"(0.2143581 / x1) + abs((x2 + 5.8648076) - (-0.77223986 / x2))"
13,0.09301446,"((0.21028566 / x1) + (x2 + 5.92028)) - (-0.9019552 / (x2 + -0.056610826))"
14,0.0717729,"exp((x0 + x2) + ((2.013142 - (-0.3255368 / x2)) + x0)) + 0.5939172"
15,0.068746045,"sqrt(exp((3.9434965 - (-0.48464176 / x2)) + ((x0 + (x0 + x2)) * 1.4456533)))"
16,0.066515915,"exp((x0 + x2) + ((1.9918711 - (-0.24778362 / x2)) + x0)) + (x2 * -0.29763862)"
17,0.06631453,"exp((x0 + (x2 + x0)) + (1.9431273 - (-0.2586839 / x2))) + sqrt(x2 * -0.30217487)"
18,0.0644117,"x0 + exp((((2.336499 - ((-1.066775 / x2) * (x0 + 0.22860803))) + x2) + x0) + x0)"
20,0.06340738,"(x0 + exp((x0 + (x2 + x0)) + (2.4028544 - ((x0 + 0.203832) * (-1.1533533 / x2))))) + -0.1781572"
