complexity,loss,equation,score,sympy_format,lambda_format
1,3.7200136,1.7724137,0.0,1.77241370000000,PySRFunction(X=>1.77241370000000)
2,3.4080007,exp(x0),0.08760150982624158,exp(x0),PySRFunction(X=>exp(x0))
3,3.2551146,x0 * 2.5608122,0.045898331952069785,x0*2.5608122,PySRFunction(X=>x0*2.5608122)
5,3.2279232,(x0 * 3.3057358) + -0.5764036,0.004194262055464165,x0*3.3057358 - 0.5764036,PySRFunction(X=>x0*3.3057358 - 0.5764036)
7,3.1997254,x0 * (x1 + (x0 * 2.0435038)),0.004386982339766773,x0*(x0*2.0435038 + x1),PySRFunction(X=>x0*(x0*2.0435038 + x1))
8,3.191171,x0 + abs(x2 + (x0 * 2.947017)),0.002677059546408502,x0 + Abs(x0*2.947017 + x2),PySRFunction(X=>x0 + Abs(x0*2.947017 + x2))
10,3.1797686,abs(x2 + (x0 * 3.6602957)) + (0.19514637 / x1),0.001789753614174657,Abs(x0*3.6602957 + x2) + 0.19514637/x1,PySRFunction(X=>Abs(x0*3.6602957 + x2) + 0.19514637/x1)
12,3.169029,x2 + ((x0 * 3.6064858) + abs(x2 + (x0 * 1.6340958))),0.0016915975150623825,x0*3.6064858 + x2 + Abs(x0*1.6340958 + x2),PySRFunction(X=>x0*3.6064858 + x2 + Abs(x0*1.6340958 + x2))
13,3.1446588,x0 + abs(x2 + abs(((x0 * 2.063691) + x2) * 3.69387)),0.007719837217857353,x0 + Abs(x2 + 3.69387*Abs(x0*2.063691 + x2)),PySRFunction(X=>x0 + Abs(x2 + 3.69387*Abs(x0*2.063691 + x2)))
14,3.1390035,sqrt(abs(x2 + abs(((x0 * 2.0953312) + x2) * -4.0463276))) + x0,0.001800001736864313,x0 + sqrt(Abs(x2 + Abs(8.47839646570112*x0 + 4.0463276*x2))),PySRFunction(X=>x0 + sqrt(Abs(x2 + Abs(8.47839646570112*x0 + 4.0463276*x2))))
15,3.1280172,x0 + abs(abs((x2 + ((x0 * 1.8034569) - -0.1707774)) * 3.9053924) + x2),0.003506071474799064,x0 + Abs(x2 + Abs((x0*1.8034569 + x2 - 1*(-0.1707774))*3.9053924)),PySRFunction(X=>x0 + Abs(x2 + Abs((x0*1.8034569 + x2 - 1*(-0.1707774))*3.9053924)))
16,3.1131585,sqrt(abs((x0 * -4.0168366) * (x2 + abs((x2 + (x0 * 2.0571404)) * 3.9783182)))),0.004761515710274277,2.00420473006128*sqrt(Abs(x0*(x2 + Abs(8.18395909327528*x0 + 3.9783182*x2)))),PySRFunction(X=>2.00420473006128*sqrt(Abs(x0*(x2 + Abs(8.18395909327528*x0 + 3.9783182*x2)))))
17,3.0960054,x0 * sqrt(sqrt(abs(x2 + abs(((x0 * 2.0688674) + x2) * 3.865479)) * 37.300564)),0.0055251057668939145,2.47131923623155*x0*Abs(x2 + Abs(7.9971634884846*x0 + 3.865479*x2))**(1/4),PySRFunction(X=>2.47131923623155*x0*Abs(x2 + Abs(7.9971634884846*x0 + 3.865479*x2))**(1/4))
19,3.0784676,sqrt(x0 * sqrt(abs((abs((x2 + (x0 * 2.0676332)) * 3.885618) + x2) * 61.296394))) - 0.5314003,0.0028403796022008748,sqrt(x0)*Abs(61.296394*x2 + 61.296394*Abs(8.0340327793176*x0 + 3.885618*x2))**(1/4) - 0.5314003,PySRFunction(X=>sqrt(x0)*Abs(61.296394*x2 + 61.296394*Abs(8.0340327793176*x0 + 3.885618*x2))**(1/4) - 0.5314003)
23,3.0611172,sqrt(abs((abs(((x0 * 1.291549) + x2) * 4.6660295) + x2) * (x2 + abs((x2 + (x0 * 3.457963)) * 4.719487)))),0.0014129983340426938,sqrt(Abs((x2 + Abs(6.0264057346955*x0 + 4.6660295*x2))*(x2 + Abs(16.319811424981*x0 + 4.719487*x2)))),PySRFunction(X=>sqrt(Abs((x2 + Abs(6.0264057346955*x0 + 4.6660295*x2))*(x2 + Abs(16.319811424981*x0 + 4.719487*x2)))))
25,3.0466413,sqrt(abs((abs(-4.707516 * (x2 + (x0 * 1.2945539))) + x2) * ((abs(((x0 * 3.5530994) + x2) * -3.9028583) + x2) * 1.2611179))),0.0023700883237668144,sqrt(Abs((x2 + Abs(6.0941331971124*x0 + 4.707516*x2))*(1.2611179*x2 + 1.2611179*Abs(13.867243484015*x0 + 3.9028583*x2)))),PySRFunction(X=>sqrt(Abs((x2 + Abs(6.0941331971124*x0 + 4.707516*x2))*(1.2611179*x2 + 1.2611179*Abs(13.867243484015*x0 + 3.9028583*x2)))))
27,3.0308726,sqrt(abs((x2 + (((exp(x1) * x0) + -0.797314) * 7.341401)) * (x0 * (abs(((x0 * 1.3016258) + x2) * -5.2741275) + (-0.31911665 - x0))))),0.0025946029320903694,sqrt(Abs(x0*(x0 - Abs(6.8649404264895*x0 + 5.2741275*x2) + 0.31911665)*(7.341401*x0*exp(x1) + x2 - 5.853401796914))),PySRFunction(X=>sqrt(Abs(x0*(x0 - Abs(6.8649404264895*x0 + 5.2741275*x2) + 0.31911665)*(7.341401*x0*exp(x1) + x2 - 5.853401796914))))
29,3.023791,sqrt(abs(((((exp(x1) * x0) + -0.8885161) * 12.575146) + x2) * (((x0 - abs((((x0 * 1.2018739) + x2) * 3.8884926) + 0.34559923)) * x0) / -1.1751657))),0.0011696113437561098,0.922466166643641*sqrt(Abs(x0*(x0 - Abs(4.67347776628314*x0 + 3.8884926*x2 + 0.34559923))*(12.575146*x0*exp(x1) + x2 - 11.1732196808506))),PySRFunction(X=>0.922466166643641*sqrt(Abs(x0*(x0 - Abs(4.67347776628314*x0 + 3.8884926*x2 + 0.34559923))*(12.575146*x0*exp(x1) + x2 - 11.1732196808506))))
