preset,N,err_fixed,err_solved,close_fixed_pct,close_solved_pct,g,dens_k,dens_R,well_k,well_R,g_req_fixed,g_req_solved,time_s
MW-like disk,3000,247.1279823942056,,92.85440691791993,,1.816,3.0,2.0,0.0,2.0,2.106254292874404,,0.14851641600034782
Central-dominated,3000,53942.3361164495,,0.0,,1.816,3.0,2.0,0.0,2.0,0.42972899138361026,,0.13265470799888135
Dwarf disk,3000,6528.736373479155,,63.27245619620978,,1.816,3.0,2.0,0.0,2.0,4.53614007015349,,0.13625854199926835
LMC-like dwarf,3000,16368.828179848533,,41.845126658575424,,1.816,3.0,2.0,0.0,2.0,10.371129823802015,,0.13851524999699905
Ultra-diffuse disk,3000,41492.3718048256,,7.4105616611369935,,1.816,3.0,2.0,0.0,2.0,330.6843132365866,,0.14210295800148742
Compact nuclear disk,2992,297242.7654119815,,0.0,,1.816,3.0,2.0,0.0,2.0,0.15011067193156788,,0.1415513749998354
