galaxy,R_kpc,Vobs_kms
CamB,1.79,20.1
D512-2,3.83,35.9
D564-8,3.07,25.0
D631-7,7.19,57.3
DDO064,2.98,46.9
DDO154,5.92,45.5
DDO161,13.37,66.1
DDO168,4.12,52.0
DDO170,12.33,62.2
ESO079-G014,16.67,178.0
ESO116-G012,9.86,112.0
ESO444-G084,4.44,62.7
ESO563-G021,42.41,312.0
F561-1,9.66,50.4
F563-1,20.1,106.0
F563-V1,7.87,27.3
F563-V2,10.47,118.0
F565-V2,8.8,83.1
F567-2,9.59,52.2
F568-1,13.23,142.0
F568-3,17.98,120.0
F568-V1,17.63,118.0
F571-8,15.55,144.0
F571-V1,13.59,83.9
F574-1,12.6,99.7
F574-2,10.83,40.0
F579-V1,15.16,114.0
F583-1,16.26,85.8
F583-4,7.29,69.9
IC2574,10.23,67.5
IC4202,25.9,247.0
KK98-251,3.13,34.2
NGC0024,11.27,110.0
NGC0055,13.5,86.5
NGC0100,9.62,91.2
NGC0247,14.54,107.0
NGC0289,71.12,165.0
NGC0300,11.8,93.5
NGC0801,59.82,216.0
NGC0891,17.11,208.0
NGC1003,30.24,115.0
NGC1090,30.09,160.0
NGC1705,6.0,71.5
NGC2366,6.06,49.4
NGC2403,20.87,134.0
NGC2683,34.62,151.0
NGC2841,63.64,294.0
NGC2903,24.96,180.0
NGC2915,10.04,86.5
NGC2955,35.43,227.0
NGC2976,2.27,85.3
NGC2998,42.28,203.0
NGC3109,6.45,67.3
NGC3198,44.08,149.0
NGC3521,17.74,206.0
NGC3726,32.52,167.0
NGC3741,7.0,51.6
NGC3769,37.16,113.0
NGC3877,11.35,169.0
NGC3893,19.05,167.0
NGC3917,14.86,137.0
NGC3949,7.07,169.0
NGC3953,15.68,215.0
NGC3972,8.72,134.0
NGC3992,46.02,237.0
NGC4010,10.47,122.0
NGC4013,31.01,170.0
NGC4051,12.19,153.0
NGC4068,2.33,41.9
NGC4085,6.2,136.0
NGC4088,21.48,174.0
NGC4100,22.76,159.0
NGC4138,18.58,150.0
NGC4157,29.61,185.0
NGC4183,21.02,113.0
NGC4214,5.63,80.6
NGC4217,16.72,178.0
NGC4389,5.32,110.0
NGC4559,20.97,119.0
NGC5005,11.47,265.0
NGC5033,44.59,196.0
NGC5055,54.59,172.0
NGC5371,46.24,213.0
NGC5585,10.96,89.4
NGC5907,50.33,214.0
NGC5985,34.72,285.0
NGC6015,29.23,152.0
NGC6195,36.43,246.0
NGC6503,23.5,115.0
NGC6674,72.41,242.0
NGC6789,0.71,60.4
NGC6946,20.4,154.0
NGC7331,36.31,238.0
NGC7793,7.87,90.8
NGC7814,19.53,214.0
PGC51017,3.63,18.3
UGC00128,53.75,125.0
UGC00191,9.98,83.85
UGC00634,18.01,107.5
UGC00731,10.91,73.9
UGC00891,7.39,63.75
UGC01230,36.54,103.0
UGC01281,4.99,56.9
UGC02023,3.78,58.8
UGC02259,8.14,90.0
UGC02455,4.03,61.0
UGC02487,80.38,333.0
UGC02885,74.07,298.0
UGC02916,38.0,181.0
UGC02953,62.39,272.0
UGC03205,40.04,220.0
UGC03546,29.23,193.0
UGC03580,27.06,124.0
UGC04278,6.69,92.8
UGC04305,5.52,33.0
UGC04325,5.59,91.5
UGC04483,1.21,24.2
UGC04499,8.18,74.3
UGC05005,28.61,99.1
UGC05253,53.29,218.0
UGC05414,4.11,61.4
UGC05716,12.37,74.7
UGC05721,6.74,79.5
UGC05750,22.85,78.9
UGC05764,3.62,49.9
UGC05829,6.91,68.6
UGC05918,4.46,44.5
UGC05986,9.41,107.0
UGC05999,16.22,100.0
UGC06399,7.85,87.6
UGC06446,10.22,80.1
UGC06614,64.59,204.0
UGC06628,7.69,42.3
UGC06667,7.85,85.7
UGC06786,34.05,211.0
UGC06787,37.19,255.0
UGC06818,6.98,74.4
UGC06917,10.47,111.0
UGC06923,5.16,81.1
UGC06930,16.61,108.0
UGC06973,7.85,180.0
UGC06983,15.68,109.0
UGC07089,9.16,79.1
UGC07125,18.68,64.9
UGC07151,5.5,76.2
UGC07232,0.82,44.0
UGC07261,6.67,76.1
UGC07323,5.82,85.6
UGC07399,6.13,106.0
UGC07524,10.69,79.0
UGC07559,2.53,32.1
UGC07577,1.69,17.8
UGC07603,4.11,64.0
UGC07608,4.78,69.3
UGC07690,4.13,55.9
UGC07866,2.32,33.1
UGC08286,8.04,84.3
UGC08490,10.15,77.6
UGC08550,5.36,57.5
UGC08699,25.7,183.0
UGC08837,4.2,48.0
UGC09037,27.96,152.0
UGC09133,108.31,229.0
UGC09992,3.89,34.3
UGC10310,7.74,73.2
UGC11455,41.93,266.0
UGC11557,10.56,84.5
UGC11820,15.82,84.45
UGC11914,9.83,305.0
UGC12506,49.99,225.0
UGC12632,10.66,73.1
UGC12732,15.4,98.0
UGCA281,1.08,29.5
UGCA442,6.33,56.5
UGCA444,2.62,38.3
