R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
1.0,39625486921.47069,39595586320.08527,18.25958847661102,18.245810155663627,0.0,0.0
1.0120606264911474,39625531510.19401,39595628590.92589,18.25960902327939,18.245829634242043,0.43260257796368945,0.4322761321508628
1.0242667116936537,39625580610.813156,39595671914.05314,18.259631649048032,18.245849597718493,0.8549565381213131,0.854311336278345
1.0366200099307066,39625619176.34126,39595716315.52935,18.259649420203097,18.245870058102614,1.2673046552015093,1.2663482499283645
1.0491222966837304,39625666283.925674,39595761822.200645,18.259671127573085,18.245891027765207,1.669883975280787,1.6686237624179245
1.0617753688475675,39625714621.109604,39595808461.44247,18.259693401547622,18.24591251932099,2.0629259917455327,2.0613691510280954
1.0745810449887383,39625764316.81134,39595856261.4026,18.259716301532787,18.245934545740575,2.446656674520625,2.4448102139703223
1.0875411656068144,39625814844.46308,39595905250.95994,18.259739584883963,18.24595712033148,2.8212966377068924,2.8191674002035794
1.1006575933989453,39625865843.24486,39595955459.60422,18.25976308533381,18.245980256682696,3.1870612638237423,3.184655936175066
1.113932213527575,39625920606.20778,39596006917.50741,18.259788320333918,18.24600396869759,3.544160848718726,3.5414859495579085
1.127366933891388,39625973255.2474,39596059655.68778,18.25981258122941,18.246028270669512,3.8928006915434286,3.8898625900586095
1.1409636853995222,39626027282.43896,39596113705.99382,18.259837477183027,18.246053177274376,4.233181214827204,4.229986147363134
1.1547244222490889,39626084649.88922,39596169101.05379,18.25986391234169,18.246078703547422,4.5654981224532865,4.5620521662882645
1.1686511222060412,39626144358.48786,39596225874.264435,18.259891426311217,18.246104864878006,4.889942486889399,4.886251559204514
1.1827457868894284,39626200933.043915,39596284059.87772,18.25991749610094,18.246131677049576,5.206700818267187,5.202770715795928
1.19701044205908,39626262394.61887,39596343693.07828,18.259945817849218,18.246159156275354,5.515955222298031,5.511791610220384
1.2114471379067577,39626325515.32093,39596404809.93708,18.25997490413013,18.246187319176997,5.817883516079186,5.813491905731246
1.2260579493508208,39626390953.60426,39596467447.42895,18.260005058362093,18.246216182792654,6.112659290004126,6.108045056820169
1.2408449763344431,39626455118.3587,39596531643.442535,18.260034625746666,18.246245764581573,6.400452005651852,6.3956204089401165
1.2558103441274293,39626524037.568794,39596597436.75784,18.260066384004094,18.24627608241374,6.681427123369996,6.6763832958657074
1.2709562036316695,39626590396.16889,39596664867.22372,18.260096962321835,18.246307154651667,6.955746175992117,6.950495134747769
1.2862847316902777,39626661616.37685,39596733975.73804,18.260129780888608,18.24633900014127,7.223566870416929,7.218113518916694
1.3017981314004599,39626735561.947235,39596804804.187386,18.260163855313678,18.246371638184055,7.485043205725898,7.479392308486745
1.3174986324301545,39626807994.480606,39596877395.53482,18.260197232525027,18.24640508857758,7.740325497620953,7.734481718813881
1.3333884913384921,39626885641.40006,39596951793.780815,18.260233012547076,18.246439371597443,7.989560514501486,7.9835284068581505
1.34946999190012,39626960691.85407,39597028044.1113,18.26026759610709,18.24647450806551,8.232891541171064,8.226675555500597
1.3657454454334392,39627041074.41095,39597106192.89921,18.260304636722193,18.246510519350622,8.47045846891738,8.464062955863369
1.3822171911327976,39627124745.246574,39597186287.64774,18.26034319258976,18.246547427342446,8.70239790654952,8.69582708767919
1.3988875964046932,39627206134.83496,39597268377.11978,18.260380697249154,18.246585254511125,8.928843184695486,8.922101197757156
1.415759057208029,39627293127.89099,39597352511.28134,18.26042078400964,18.2466240238812,9.149924488220066,9.143015376589933
1.4328339983984741,39627378428.231606,39597438741.37043,18.260460090759853,18.24666375906336,9.365768920391451,9.35869663314605
1.4501148740769754,39627468998.273766,39597527120.010254,18.260501825810366,18.246704484306598,9.576500571818542,9.569268967891226
1.467604167942475,39627562086.29485,39597617701.20512,18.26054472115599,18.24674622449632,9.78224061584842,9.774853444080291
1.4853043936488803,39627656374.9362,39597710540.31192,18.26058816975241,18.246789005141217,9.98310733284998,9.975568257359889
1.5032180951663396,39627755929.476234,39597805694.01452,18.260634044896747,18.24683285236144,10.179216216094499,10.171528803721877
1.5213478471468749,39627851661.58541,39597903220.58091,18.260678158649114,18.246877793007123,10.370679994761524,10.362847745848045
1.5396962552944244,39627954624.783104,39598003179.82248,18.26072560451702,18.246923854639604,10.557608738660882,10.54963507788422
1.5582659567393489,39628058569.27669,39598105633.01071,18.260773502570135,18.24697106549304,10.740109935507236,10.731998188679023
1.5770596204174525,39628164557.97738,39598210643.05278,18.26082234260235,18.247019454555307,10.918288498364857,10.910041923524947
1.5960799474535783,39628273473.048805,39598318274.49462,18.260872531118316,18.247069051569447,11.09224686533129,11.083868644437617
1.615329671549826,39628385738.02868,39598428593.558495,18.260924263285972,18.24711988705095,11.262085054674554,11.253578289007162
1.6348115593784562,39628500453.72279,39598541668.24393,18.2609771247529,18.24717199233428,11.42790071241115,11.419268427856066
1.65452841097953,39628618999.733,39598657568.249466,18.261031751245344,18.247225399536816,11.589789173845615,11.581034320735814
1.6744830601633456,39628745472.14637,39598776364.98328,18.26109003025719,18.247280141563735,11.747843545597167,11.73896897129419
1.6946783749177292,39628861434.63432,39598898132.00044,18.261143466251884,18.247336252309527,11.902154649407134,11.893163180547472
1.7151172578202367,39628989459.09052,39599022944.80798,18.261202460451493,18.247393766568134,12.052811179203564,12.043705599087076
1.7358026464553273,39629118705.26616,39599150880.711464,18.26126201762448,18.247452719962286,12.199899790542155,12.190682778047442
1.7567375138365704,39629251834.39522,39599282019.102905,18.261323364078486,18.247513149076152,12.343505041748882,12.334179218867156
1.7779248688339402,39629387660.62478,39599416441.49402,18.261385953367572,18.24757509147067,12.48370949573932,12.474277421872845
1.7993677566062685,39629526965.02088,39599554231.58623,18.261450145410205,18.247638585715794,12.620593757220574,12.61105793371266
1.8210692590389104,39629669769.66889,39599695475.306015,18.261515950383412,18.247703671406814,12.754236525589242,12.744599393666483
1.8430324951866892,39629816847.99441,39599840260.86961,18.261583724684915,18.24777038919413,12.88471464007935,12.874978578859585
1.8652606217221832,39629967296.389404,39599988678.826614,18.261653051928388,18.247838780803367,13.012103118700441,13.002270448405588
1.88775683338942,39630122561.024536,39600140822.12529,18.261724598515265,18.247908889065474,13.136475205189688,13.126548186504287
1.9105243634630407,39630278519.04608,39600296786.279236,18.26179646461747,18.247980757993517,13.25790239321576,13.247883244519613
1.9335664842130058,39630439860.82207,39600456669.38017,18.261870811576017,18.24805443278856,13.376454486020583,13.366345382061716
1.9568865073748998,39630607691.16384,39600620572.11223,18.261948148492554,18.24812995984627,13.49219966459881,13.482002707095843
1.9804877846259143,39630776005.83589,39600788597.92425,18.262025708590482,18.248207386836306,13.605204467638503,13.594921715102021
2.0043737080665673,39630952979.26084,39600960853.01745,18.26210725867761,18.248286762696623,13.715533869717298,13.705167327307828
2.0285477107082346,39631129077.51206,39601137446.51118,18.26218840548106,18.248368137709868,13.823251298048342,13.812802928016225
2.0530132669665586,39631310659.71762,39601318490.551575,18.262272079313377,18.24845156355345,13.928418660330518,13.917890401050482
2.0777738931608125,39631499638.47295,39601504100.32546,18.26235916150646,18.248537093305934,14.031096442565362,14.02049016533636
2.102833148019282,39631691289.74232,39601694394.19104,18.26244747520508,18.248624781507267,14.131343682168993,14.120661209642074
2.1281946331907466,39631892247.059494,39601889493.739265,18.26254007716907,18.248714684187064,14.229218028650354,14.218461126496239
2.153861993762124,39632091571.548065,39602089523.92297,18.26263192671888,18.248806858924112,14.324775741622053,14.313946145303282
2.1798389187823672,39632305787.389046,39602294613.00126,18.262730638265545,18.248901364820735,14.418071779192537,14.407171164674708
2.206129141792668,39632508547.855156,39602504893.01462,18.26282407112803,18.248998262721734,14.509159742393827,14.49818978399665
2.232736441363065,39632727402.42487,39602720499.806145,18.26292492022011,18.249097615224173,14.598091970682427,14.587054334252256
2.2596646416355184,39632952654.174255,39602941572.78694,18.263028717159074,18.249199486569267,14.684919659731365,14.67381590811264
2.2869176128735367,39633182350.29024,39603168255.2569,18.263134562080573,18.249303942790196,14.769692728958232,14.758524389315449
2.314499272018431,39633414787.61272,39603400694.57039,18.263241670161374,18.249411051788464,14.8524598951518,14.841228481349992
2.3424135832522777,39633652118.13849,39603639042.319695,18.263351033050522,18.249520883418427,14.933268723489107,14.921975735464736
2.3706645585676736,39633899645.79426,39603883454.42988,18.2634650948194,18.249633509530998,15.012165693045313,15.000812578012722
2.399256258344359,39634153684.87834,39604134091.315865,18.263582157081412,18.249749004046038,15.089196190262275,15.077784337150524
2.4281927919327986,39634414983.272064,39604391117.9759,18.26370256446337,18.24986744299542,15.164404510404369,15.152935268906026
2.4574783182447963,39634681829.32024,39604654704.02261,18.26382552822747,18.24998890453735,15.237833893960502,15.226308582629253
2.4871170463512398,39634952838.69346,39604925023.96963,18.263950410468997,18.250113469088422,15.309526540085868,15.297946465842028
2.5171132360870474,39635231260.98266,39605202257.48682,18.264078708612907,18.250241219441268,15.379523658495543,15.367890108501783
2.547471198663417,39635519006.95907,39605486589.436,18.264211303150493,18.25037224078097,15.447865510697447,15.436179726692174
2.578195297287452,39635815079.310135,39605778209.9939,18.264347734516004,18.250506620741753,15.514591409223382,15.502854585753209
2.6092899477892684,39636117998.366684,39606077314.93965,18.26448732087176,18.250644449539458,15.579739721684197,15.567953022865685
2.6407596192566607,39636423375.02881,39606384105.96937,18.264628039702338,18.25078582011648,15.643347874562677,15.631512469103855
2.6726088346774195,39636741130.71492,39606698790.71289,18.26477446283844,18.250930828149517,15.70545243830841,15.693569470967361
2.7048421715894047,39637064538.70736,39607021582.952095,18.264923490580703,18.25107957215014,15.766089133845561,15.754159711404402
2.7374642627384485,39637399832.088394,39607352702.8688,18.26507799515925,18.25123215357904,15.825292833535135,15.813318030339323
2.770479796744201,39637741013.59155,39607692377.287056,18.26523521300886,18.251388676957685,15.88309758443654,15.871078444716566
2.803893518774003,39638091361.54256,39608040839.96888,18.265396654795598,18.25154925000458,15.939536612435202,15.927474168072669
2.837710231224885,39638453778.97059,39608398331.69379,18.265563658247334,18.251713983671916,15.994642389965332,15.98253762964662
2.8719347944137956,39638823772.899345,39608765100.611824,18.26573415298198,18.251882992308268,16.04844661121013,16.036300493039835
2.9065721272761507,39639201031.84764,39609141402.56831,18.265907995467717,18.252056393808218,16.10098019337188,16.088793674437706
2.941627208072808,39639589954.02555,39609527501.27892,18.266087212417965,18.252234309693037,16.15227334363108,16.14004736040221
2.977105075105571,39639985174.20882,39609923668.787605,18.26626933151516,18.25241686532171,16.202355547908024,16.190091025246435
3.013010827441318,39640396328.58952,39610330185.70534,18.266458793156527,18.25260419000093,16.251255617353277,16.238953448001265
3.0493496256448713,39640815383.44215,39610747341.447685,18.26665189536807,18.252796417094594,16.299001688698834,16.286662728982684
3.086126692520694,39641247907.74064,39611175434.59062,18.26685120435605,18.252993684187746,16.345621219058,16.333246305969812
3.123347313863546,39641688776.13066,39611614773.24789,18.267054358335965,18.25319613326047,16.391141017107596,16.37873097000372
3.161016839218183,39642143258.57272,39612065675.50801,18.26726378572744,18.253403910889283,16.43558725750838,16.423142880816254
