cluster,lambda0,alpha,r_half_kpc,median_residual_enhanced,median_residual_GR,improvement_factor,max_kappa,kappa_at_r_half
ABELL_0426,0.3,1.0,0.895,1.0,1.0,1.0,1.028896435817721,1.0015010959301045
ABELL_0426,0.3,1.5,0.895,1.0,1.0,1.0,1.030365668158293,1.0002656408951571
ABELL_0426,0.3,2.0,0.895,1.0,1.0,1.0,1.0318059411888056,1.0000460778665
ABELL_0426,0.5,1.0,0.895,1.0,1.0,1.0,1.0481607263628685,1.002501826550174
ABELL_0426,0.5,1.5,0.895,1.0,1.0,1.0,1.0506094469304883,1.000442734825262
ABELL_0426,0.5,2.0,0.895,1.0,1.0,1.0,1.0530099019813428,1.0000767964441666
ABELL_0426,0.7,1.0,0.895,1.0,1.0,1.0,1.067425016908016,1.0035025571702436
ABELL_0426,0.7,1.5,0.895,1.0,1.0,1.0,1.0708532257026837,1.000619828755367
ABELL_0426,0.7,2.0,0.895,1.0,1.0,1.0,1.0742138627738798,1.0001075150218333
ABELL_0426,1.0,1.0,0.895,1.0,1.0,1.0,1.096321452725737,1.0050036531003481
ABELL_0426,1.0,1.5,0.895,1.0,1.0,1.0,1.1012188938609766,1.000885469650524
ABELL_0426,1.0,2.0,0.895,1.0,1.0,1.0,1.1060198039626854,1.0001535928883334
ABELL_1689,0.3,1.0,7.64,1.0,1.0,1.0,1.0253624092477769,1.000633535417078
ABELL_1689,0.3,1.5,7.64,1.0,1.0,1.0,1.0125354578052268,1.0000412302726633
ABELL_1689,0.3,2.0,7.64,1.0,1.0,1.0,1.0058923944288687,1.0000026734325165
ABELL_1689,0.5,1.0,7.64,1.0,1.0,1.0,1.0422706820796281,1.0010558923617965
ABELL_1689,0.5,1.5,7.64,1.0,1.0,1.0,1.020892429675378,1.0000687171211058
ABELL_1689,0.5,2.0,7.64,1.0,1.0,1.0,1.0098206573814479,1.0000044557208607
ABELL_1689,0.7,1.0,7.64,1.0,1.0,1.0,1.0591789549114794,1.001478249306515
ABELL_1689,0.7,1.5,7.64,1.0,1.0,1.0,1.0292494015455294,1.000096203969548
ABELL_1689,0.7,2.0,7.64,1.0,1.0,1.0,1.013748920334027,1.0000062380092052
ABELL_1689,1.0,1.0,7.64,1.0,1.0,1.0,1.0845413641592563,1.002111784723593
ABELL_1689,1.0,1.5,7.64,1.0,1.0,1.0,1.0417848593507562,1.0001374342422114
ABELL_1689,1.0,2.0,7.64,1.0,1.0,1.0,1.0196413147628958,1.0000089114417217
