Complexity,Loss,Equation
1,0.4930719,"2.258291"
2,0.29725325,"exp(x0)"
3,0.12986058,"3.3725543 - x1"
4,0.11106313,"log(x0 / 0.05165191)"
5,0.10052539,"(x2 + 3.1998904) / x1"
6,0.086047575,"x0 / sqrt(x2 * -0.061372332)"
7,0.08604753,"x0 / sqrt(abs(x2) * 0.0613667)"
8,0.073486954,"x0 * (exp(exp(exp(x2))) - 0.23619336)"
10,0.028848365,"exp((x0 * ((-4.342026 - x0) / x2)) - 2.063888)"
12,0.022929735,"exp((x0 * (((x0 * -1.2190567) + -3.9700549) / x2)) - 1.934832)"
13,0.018920401,"((x0 * ((x0 * -26.707495) + (x2 * -14.149939))) / x2) - -1.3791777"
15,0.018920392,"(((x0 * ((x0 * -26.707901) + (x2 * -13.150181))) / x2) - -1.3791801) - x0"
16,0.014749688,"((x2 + 3.8969548) + (5.316364 / x2)) * ((x0 / (exp(x2) - x1)) + 0.029774887)"
17,0.0030577113,"abs((((x2 + (1.4370497 / x2)) + 2.2745016) * (exp(0.9576846 / x1) - x1)) + -1.891325)"
18,0.002788231,"exp(abs((((1.0195956 / x2) + (x2 + 2.1032343)) * (exp(0.57404476 / x1) - x1)) + -0.83580947))"
19,0.0010028227,"abs((((x2 + (1.8395923 / x2)) + 2.5171466) * (exp(1.0323406 / x1) - x1)) + -0.99425554) + 0.59230965"
