r_kpc,kT_keV,kT_err_keV
847.915,4.5469,1.7684
830.785,4.611,1.7564
813.655,4.6751,1.7443
796.525,4.7391,1.7323
779.4,4.8032,1.7202
762.2750000000001,4.8673,1.7082
745.145,4.9314,1.6961
728.0150000000001,4.9954,1.6841
710.885,5.0595,1.6721
693.755,5.1236,1.66
676.625,5.1877,1.648
659.4949999999999,5.2518,1.6359
642.3650000000001,5.3158,1.6239
625.235,5.3799,1.6118
608.105,5.444,1.5998
590.975,5.5081,1.5877
573.8449999999999,5.5722,1.5757
556.715,5.6363,1.5636
539.585,5.7003,1.5516
522.455,5.7644,1.5395
505.32500000000005,5.8285,1.5275
488.195,5.8926,1.5154
471.065,5.9567,1.5034
453.935,6.0207,1.4914
436.805,6.0848,1.4793
419.675,6.1489,1.4673
402.54499999999996,6.213,1.4552
385.415,6.2771,1.4432
368.28499999999997,6.3412,1.4311
351.155,6.4052,1.4191
334.02500000000003,6.4693,1.407
316.89500000000004,6.5334,1.395
299.765,6.5087,1.3648
282.635,6.4209,1.3216
265.51000000000005,6.3331,1.2786
248.38500000000002,6.2454,1.2354
231.255,6.1576,1.1923
214.125,6.0698,1.1492
196.99499999999998,5.982,1.1061
179.865,5.8942,1.063
162.735,5.8064,1.0198
145.605,5.7187,0.97671
128.475,5.6309,0.93359
111.345,5.5431,0.89047
94.21499999999999,5.4553,0.84735
77.085,5.42,0.83
59.95499999999999,5.42,0.83
42.825,5.42,0.83
25.695,5.42,0.83
8.565,5.42,0.83
