r_kpc,rho_star_Msun_per_kpc3
847.915,12.483113491678058
830.785,13.516365513669491
813.655,14.658775498842493
796.525,15.924479693232508
779.4,17.3293647862472
762.2750000000001,18.892660154305545
745.145,20.63683081613766
728.0150000000001,22.58701906973932
710.885,24.773130392054636
693.755,27.23026000371989
676.625,29.999748226772315
659.4949999999999,33.1304835565483
642.3650000000001,36.68051977583709
625.235,40.71909351099908
608.105,45.32915551425395
590.975,50.6105652315328
573.8449999999999,56.684147540782654
556.715,63.69687816422481
539.585,71.82855775288941
522.455,81.30046509216717
505.3250000000001,92.38666364456473
488.195,105.42889716651837
471.065,120.85638634611043
453.935,139.21238585323516
436.805,161.19016761961043
419.675,187.68229971977266
402.545,219.84891179011322
385.415,259.2134365751723
368.285,307.7986871315055
351.155,368.32307279371946
334.02500000000003,444.4880004709518
316.89500000000004,541.4060918108564
299.765,666.2512597090541
282.635,829.2661052214269
265.51000000000005,1045.2862003869195
248.385,1336.5025378192554
231.255,1736.7914851668766
214.125,2298.9445724483962
196.995,3108.3403684914515
179.865,4307.903204435824
162.735,6147.09482576308
145.605,9083.343218137297
128.475,14006.568118483017
111.345,22778.261543898636
94.215,39663.447681803766
77.085,75661.83077644554
59.95499999999999,164108.59012370484
42.825,433005.8799886317
25.695,1613375.2804310292
8.565,14578917.253746642
