r_kpc,n_e_cm3
847.915,0.00027694
830.785,0.00037605
813.655,0.00030937
796.525,0.00042864
779.4,0.00025994
762.2750000000001,0.00035122
745.145,0.00042896
728.0150000000001,0.00057836
710.885,0.00045291
693.755,0.00032151
676.625,0.00025063
659.4949999999999,0.00050359
642.3650000000001,0.00039816
625.235,0.00041825
608.105,0.00041656
590.975,0.00062663
573.8449999999999,0.00063456
556.715,0.00068476
539.585,0.00067708
522.455,0.00059761
505.32500000000005,0.00043638
488.195,0.00059724
471.065,0.00080899
453.935,0.00066307
436.805,0.00073933
419.675,0.00038452
402.54499999999996,0.00081886
385.415,0.00084082
368.28499999999997,0.001023
351.155,0.0008663
334.02500000000003,0.0010516
316.89500000000004,0.00088928
299.765,0.0014161
282.635,0.0010693
265.51000000000005,0.0016126
248.38500000000002,0.0012532
231.255,0.0016322
214.125,0.0014484
196.99499999999998,0.0020112
179.865,0.0021518
162.735,0.0028369
145.605,0.0027815
128.475,0.0032035
111.345,0.0038877
94.21499999999999,0.004923
77.085,0.0064803
59.95499999999999,0.0085301
42.825,0.01072
25.695,0.01411
8.565,0.019
