R_kpc,Vobs,Vbar,Vmod,resid_kms,ape,x,Sh,abs_dlnS,Rd_kpc,rc_source,sigma_source,family
3.425,196.90112932134693,206.38684924674965,206.38684924674965,9.48571992540272,0.048175040732863536,0.811612197512872,4.936826599903476,1.2083355362715513,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
4.075,175.3001978639135,214.3489117299174,9340.849257256781,9165.549059392868,52.284875722206166,0.9656407897415923,4.001827556998797,1.2349221588577448,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
4.725,207.34442001591069,218.8249369863237,865.7601274140777,658.415707398167,3.175468659092167,1.1196693819703123,3.31801483403825,1.3579850419553818,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
5.375,224.55656267056145,220.631883590041,765.395573070006,540.8390103994445,2.408475637351509,1.2736979741990326,2.747637957995104,1.5695545317761834,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
6.025,226.83176850312924,220.5065681745961,727.6598950894873,500.8281265863581,2.2079276191837693,1.427726566427753,2.265706343182249,1.66609525677294,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
6.675000000000001,227.64991453006996,219.0358921386457,728.4101390239651,500.7602244938952,2.1996943224318692,1.5817551586564733,1.9152490656409613,1.7404910128174542,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
7.325,227.97357682995695,216.6595288478013,750.0285186471825,522.0549418172255,2.28998004539193,1.7357837508851934,1.6125825371982545,1.9334937581221254,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
7.975,228.4447109300486,213.6959241430796,760.4403718248981,531.9956608948495,2.328772063616524,1.8898123431139136,1.357706757854128,1.9770180544079967,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
8.625,226.6767702663435,210.37113694598983,778.9207109902047,552.2439407238612,2.4362617310762755,2.043840935342634,1.1674804207814524,2.0249991748881175,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
9.275,222.99872779848596,206.84352381962756,807.8731974006288,584.8744696021429,2.6227704318146063,2.197869527571354,1.0,2.1771826636394027,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
9.925,224.13596548916465,203.22285061352295,825.0945878835781,600.9586223944135,2.6812235202095023,2.3518981198000746,0.8600104045826814,2.1915880902766003,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
10.575,224.025015289517,199.58439415061807,847.8583119923042,623.8332967027872,2.784659096648564,2.5059267120287942,0.750158422327563,2.2402347417724866,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
11.225,222.7949907563696,195.9790933883552,876.0740904144797,653.27909965811,2.9321983292365967,2.659955304257515,0.6527548216049218,2.347071111299447,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
11.875,226.71974339169589,192.44076570544956,894.8307870596723,668.1110436679764,2.9468586796770673,2.813983896486235,0.5714396214036643,2.3484380435775214,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
12.525,228.0472843136513,188.99120738889036,920.1321464205394,692.0848621068881,3.0348305360874615,2.9680124887149555,0.5046434836573754,2.409792630383447,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
13.175,227.74344504761768,185.6437919064461,946.636308980742,718.8928639331243,3.1565908023513685,3.1220410809436756,0.44488495773593617,2.4845878873004734,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
13.825,231.2231479772248,182.40600914116857,966.0705209082124,734.8473729309876,3.178087398945754,3.2760696731723957,0.39484545348043637,2.485748051198855,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
14.475,228.45893408621788,179.2812597560724,995.0368007821353,766.5778666959175,3.3554295863370327,3.430098265401116,0.3520953572176608,2.577434338015262,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
15.775000000000002,223.7183514694769,173.3712692651373,1038.2171058514552,814.4987543819784,3.6407328635849745,3.738155449858557,0.2810148411756751,2.621926528473413,4.219995720241354,data\milkyway\gaia_predictions_by_radius.csv,data\mw_sigma_disk.csv,ratio_curv
