name,hubble_type,type_group,param_source,ape,rms,chi2_reduced,n_points,elapsed,params_used
F571-V1,Sd,late,class_late,26.10426624644342,16.379628322028957,5.653248237736274,7,0.01316213607788086,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
F574-1,Sd,late,class_late,35.67507174543811,19.39789187774285,20.305747725814747,14,0.018050193786621094,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
F574-2,Sm,late,class_late,105.20429677528213,24.368343844465457,9.366495362234124,5,0.011387825012207031,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
F579-V1,Sc,intermediate,class_intermediate,34.21307099267066,38.01290628972063,14.148721917657493,14,0.017414093017578125,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
F583-1,Sm,late,class_late,50.919884538015665,31.572545197655355,28.90598713626478,25,0.025996923446655273,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
F583-4,Sc,intermediate,class_intermediate,48.27961118493008,21.282321710646496,22.148248874761563,12,0.017483949661254883,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
IC2574,Sm,late,class_late,28.088637545811515,12.148614155087351,17.73086645918387,34,0.02927708625793457,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
IC4202,Sbc,intermediate,class_intermediate,82.97461937467591,142.3087238111877,1376.034712618823,32,0.03145623207092285,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
KK98-251,Im,late,class_late,26.73682515889318,10.218239051927858,27.967609639913444,15,0.016982555389404297,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC0024,Sc,intermediate,class_intermediate,35.59048606543139,40.23693153683663,100.59820895561234,29,0.030803918838500977,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC0055,Sm,late,class_late,32.12948539497406,22.868444620046297,80.00613597287978,21,0.02106952667236328,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC0100,Scd,late,class_late,55.725951895194804,23.257063833306972,32.522538410425064,21,0.022166967391967773,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
