cluster,team,version,z_source,theta_E_arcsec,reference
macs0416,caminha,v4,,,
macs0416,cats,v4.1,,,
macs0416,williams,v4,,,
macs0717,cats,v4.1,,,
macs0717,williams,v4,,,
macs1149,cats,v4.1,,,
macs1149,williams,v4,,,
