r_kpc,kT_keV,kT_err_keV
1184.0,10.116,2.9178
1163.0500000000002,9.8517,2.7081
1142.1000000000001,9.5879,2.4985
1121.15,9.3241,2.2888
1100.2,9.0603,2.0792
1079.2,8.9078,1.9255
1058.2500000000002,9.1061,1.9484
1037.3000000000002,9.3045,1.9713
1016.3500000000001,9.5028,1.9942
995.41,9.7011,2.017
974.445,9.8995,2.0399
953.4899999999999,9.7241,1.925
932.5300000000001,9.5477,1.8096
911.575,9.3713,1.6943
890.62,9.195,1.579
869.6650000000001,9.2125,1.5406
848.71,9.3735,1.5591
827.75,9.5344,1.5776
806.7950000000001,9.6953,1.596
785.8400000000001,9.7523,1.5503
764.885,9.7808,1.487
743.93,9.8093,1.4237
722.975,10.575,1.6358
702.0200000000001,11.78,2.0127
681.06,12.987,2.3896
660.1049999999999,12.766,2.3376
639.15,12.505,2.2734
618.195,12.112,2.115
597.24,11.642,1.9023
576.285,11.987,1.9656
555.33,12.846,2.203
534.37,11.884,1.8978
513.415,11.567,1.8154
492.46000000000004,13.97,2.6284
471.505,12.87,2.1395
450.55,14.404,2.5168
429.595,13.243,2.1284
408.64,11.636,1.7138
387.68,10.996,1.4967
366.72499999999997,9.2182,1.0346
345.77000000000004,9.424,1.1495
324.81499999999994,10.072,1.2415
303.86,10.548,1.3749
282.9,11.856,1.7419
261.945,15.456,2.8689
240.99,11.611,1.6188
220.03499999999997,11.116,1.663
199.07999999999998,12.153,1.7903
178.12499999999997,12.874,2.0587
157.17,11.838,1.7097
136.21,11.424,1.5656
115.255,12.283,1.7789
94.3,11.201,1.4755
73.345,12.413,1.9925
52.39,12.605,2.031
31.435000000000006,12.072,1.783
10.48,11.98,1.74
148.41,4.5446,0.11156
145.15,4.5179,0.11293
141.89000000000001,4.4913,0.11429
138.63,4.4646,0.11566
135.365,4.4379,0.11703
132.1,4.4112,0.1184
128.84,4.3845,0.11977
125.58,4.3578,0.12114
122.32000000000001,4.3312,0.12251
119.06,4.3045,0.12387
115.79500000000002,4.2778,0.12524
112.52999999999999,4.2511,0.12661
109.27000000000001,4.2244,0.12798
106.00999999999999,4.1977,0.12935
102.75000000000001,4.171,0.13072
99.485,4.1443,0.13209
96.22,4.1176,0.13345
92.96,4.091,0.13482
89.7,4.0643,0.13619
86.43999999999998,4.0376,0.13756
83.18,4.0109,0.13893
79.915,3.9842,0.13961
76.64999999999999,3.9573,0.13782
73.39000000000001,3.9305,0.13604
70.13,3.9037,0.13425
66.87000000000002,3.8769,0.13246
63.605,3.85,0.13067
60.339999999999996,3.769,0.1271
57.08,3.6556,0.12247
53.82,3.5423,0.11785
50.56,3.4289,0.11322
47.300000000000004,3.32,0.10813
44.035000000000004,3.2212,0.10195
40.77,3.1223,0.095771
37.510000000000005,3.0201,0.089493
34.25,2.8668,0.081628
30.990000000000002,2.7134,0.073764
27.725,2.5432,0.067581
24.46,2.3579,0.062947
21.2,2.2043,0.058216
17.94,2.106,0.0533
14.680000000000001,2.0018,0.048876
11.42,1.8855,0.045457
8.155,1.7691,0.042032
4.890000000000001,1.7,0.04
1.63,1.7,0.04
571.4999999999999,4.8961,0.60992
566.92,4.8887,0.60891
559.8799999999999,4.8773,0.60736
552.84,4.8659,0.60581
545.7950000000001,4.8546,0.60426
538.7500000000001,4.8432,0.60271
531.71,4.8318,0.60116
524.67,4.8205,0.59961
517.625,4.8091,0.59806
