R_kpc,DeltaSigma_Msun_per_kpc2
10.0,113929185.15728623
11.244372275696023,101321071.87836242
12.643590787444143,90108250.94910923
14.216924171558256,80136310.62702568
15.986038800034239,71267927.33484559
17.975297148130593,63380974.57773303
20.21209328998374,56366841.13947995
22.727230142367493,50128935.397588335
25.555343651620014,44581355.16016197
28.735379765216045,39647704.706932954
32.31113075635918,35260042.743896775
36.33183828731944,31357946.783840515
40.8528715163006,27887681.068349782
45.93648958604622,24801456.572749004
51.652698994413754,22056772.903504554
58.080217653765814,19615833.025360446
65.3075589152395,17445022.758414704
73.43425048599038,15514447.877291454
82.57220502511878,13797522.437801987
92.84726129275339,12270602.661941765
104.40091707545402,10912661.339454116
117.39227775204752,9704998.262144983
132.00024733359308,8630982.70334014
148.42599215028727,7675824.396169665
166.8957111127365,0.0
187.6637506968628,0.0
211.0161075488933,0.0
237.27436694480676,0.0
266.80013134075114,0.0
300.0,0.0
