r_kpc,n_e_cm3
1.0,0.1100
2.0,0.1000
3.0,0.0920
5.0,0.0800
7.0,0.0700
10.0,0.0590
15.0,0.0460
20.0,0.0370
30.0,0.0270
50.0,0.0165
70.0,0.0110
100.0,0.0068
150.0,0.0040
200.0,0.0025
300.0,0.0013
400.0,0.0008
500.0,0.0005
700.0,0.0003
1000.0,0.0002
