R_kpc,g_phi_R,g_N_R,g_tot_R
0.0,37.2354346894372,0.0,37.2354346894372
4.724409448818897,609.9785549316003,119.342299564882,729.3208544964823
9.448818897637794,749.0751999952781,223.2767450440996,972.3519450393777
14.173228346456693,937.2068021546489,377.31107859576656,1314.5178807504155
18.89763779527559,927.0951085181975,504.55787623513334,1431.6529847533309
23.622047244094485,1032.788139009504,602.7501186385044,1635.5382576480083
28.346456692913385,1056.3918371964392,651.5773938156304,1707.9692310120695
33.07086614173228,1142.9426507637875,677.7368495786727,1820.6795003424602
37.79527559055118,1223.6528086815958,703.691073189142,1927.3438818707377
42.519685039370074,1286.7270183205103,730.5125493327686,2017.2395676532788
47.24409448818897,1330.0179871677883,755.7261512662504,2085.7441384340386
51.96850393700787,1358.8629635896928,778.8789236666614,2137.741887256354
56.69291338582677,1388.5218461181769,794.6403983949265,2183.1622445131034
61.41732283464567,1438.5165729517394,802.9065043099065,2241.4230772616456
66.14173228346456,1478.8612503501593,805.5909371474933,2284.4521874976526
70.86614173228345,1533.4577550731365,798.9404424856514,2332.3981975587876
75.59055118110236,1567.032987701679,791.0100841642791,2358.043071865958
80.31496062992126,1602.2962415972156,783.7485836508957,2386.0448252481115
85.03937007874015,1637.0570075402584,780.2597701877232,2417.3167777279814
89.76377952755905,1681.796190385747,783.1455325939585,2464.9417229797054
94.48818897637794,1689.6193301040037,785.4817554874393,2475.101085591443
99.21259842519684,1700.3485027985341,779.5619302082501,2479.9104330067844
103.93700787401573,1723.169108880535,768.6792049938311,2491.8483138743663
108.66141732283464,1758.5175009650027,756.6532640320904,2515.170764997093
113.38582677165354,1766.9199024268157,746.9992408851803,2513.919143311996
118.11023622047243,1801.0390601183103,716.4010752990196,2517.4401354173297
122.83464566929133,1822.0262276298618,662.3530651803064,2484.3792928101684
127.55905511811022,1828.1651972744523,614.1984527597904,2442.3636500342427
132.28346456692913,1843.0225470662833,571.1105510993459,2414.1330981656292
137.00787401574803,1853.1895675142887,532.4027016193664,2385.592269133655
141.7322834645669,1858.6416398297708,497.5007467354303,2356.1423865652014
146.4566929133858,1869.1023068970214,465.92161504879004,2335.0239219458117
151.1811023622047,1890.2143157065323,437.25651568543674,2327.470831391969
155.90551181102362,1906.4411104424476,411.1576419301076,2317.5987523725553
160.62992125984252,1907.549034610976,387.32757098779166,2294.8766055987676
165.3543307086614,1933.0704675459233,365.51075270358143,2298.581220249505
170.0787401574803,1936.6285733942266,345.48662967738215,2282.115203071609
174.8031496062992,1939.1482307190386,327.0640409509768,2266.2122716700155
179.5275590551181,1942.3835721250025,310.076642702138,2252.4602148271406
184.25196850393698,1945.4006321429974,294.37914008013627,2239.7797722231335
188.97637795275588,1966.8266832943345,279.8441700386795,2246.670853333014
193.7007874015748,1975.7701976549959,266.3597097334249,2242.1299073884206
198.4251968503937,1977.9716858614124,253.8269115997093,2231.7985974611215
203.1496062992126,1984.0827098701077,242.1582866748984,2226.240996545006
207.87401574803147,1989.6093717614983,231.27617358568557,2220.885545347184
212.59842519685037,2006.3204954244666,221.11144299352455,2227.431938417991
217.32283464566927,2004.7976553747224,211.60239700467258,2216.4000523793948
