Complexity,Loss,Equation
1,0.74782246,"1.2462101"
2,0.06383206,"abs(x2)"
3,0.036795255,"x2 / -0.8907169"
5,0.03255708,"x0 * (x0 + 1.8770021)"
6,0.015258444,"abs((x0 * 3.240459) - 0.40882507)"
7,0.013200795,"abs((sqrt(x1) * -2.8760135) - -3.9958453)"
8,0.008641192,"abs((x0 * (4.255638 - x0)) - 0.5728599)"
9,0.0084679155,"abs((sqrt(x1) + 2.649736) * (x0 + -0.13666242))"
10,0.008105054,"abs((x0 - (-4.419942 - x2)) * (x0 - 0.1425108))"
12,0.0077454643,"((x0 * 1.2390404) - (-4.2144227 - x2)) * abs(0.1401616 - x0)"
14,0.0072037415,"abs(((x0 * 1.9835093) - (-1.2882637 - x2)) * (0.4753059 - (x0 - x2)))"
