type,galaxies,points,median_percent_close_rootm_soft,mean_percent_close_rootm_soft
BCD,5,14,62.22140098983398,57.69054930408999
Im,39,148,82.48753696496551,77.9142371439399
S0,3,10,89.54556694181379,91.49101504618571
Sa,3,5,92.17678357981364,93.02129241899507
Sab,10,39,89.16889018161154,87.84202731296034
Sb,12,52,82.47018307859477,83.47523032357596
Sbc,18,65,81.45117249448957,78.95438300697646
Sc,16,48,86.4787936810799,82.67354489517301
Scd,16,98,87.44179327345341,85.56352789734059
Sd,16,78,88.74293106611103,86.8758743824971
Sdm,10,36,93.28276636649687,85.18447943391111
Sm,27,152,85.41130574246026,80.28695584369167
